,Active Ingredients,UID,Brand Name
37,Amantadine Hydrochloride; Amitriptyline Hydrochloride; Baclofen; Clonidine Hydrochloride; Gabapentin; Ketoprofen; Lidocaine Hydrochloride,A1037,NA
38,Aminobenzoic Acid,A1038,NA
39,Aminohippurate Sodium,A1039,NA
40,Aminohippuric Acid,A1040,NA
41,Amiodarone Hydrochloride,A1041,NA
42,Amphotericin B,A1042,NA
43,Anastrozole,A1043,NA
44,Anastrozole; 1-Testosterone,A1044,NA
45,Anastrozole; Testosterone,A1045,NA
46,Anhydrous Dextrose,A1046,NA
47,"Anhydrous Dextrose; Potassium Chloride; Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate",A1047,NA
48,Apomorphine Hydrochloride,A1048,NA
49,Arginine,A1049,NA
50,Arginine Hydrochloride,A1050,NA
51,Arginine Hydrochloride; Carnitine; Methionine,A1051,NA
52,Arginine Hydrochloride; Propylparaben; Methylparaben,A1052,NA
53,Arginine; Leucine; Tryptophan; Glycine; Isoleucine; Threonine; Methionine; Lysine; Valine; Phenylalanine; Histidine; Alanine; Proline; Serine; Tyrosine,A1053,NA
54,Arginine; Leucine; Tyrosine; Tryptophan; Glycine; Isoleucine; Threonine; Methionine; Lysine; Valine; Phenylalanine; Histidine; Alanine; Proline; Serine,A1054,NA
55,Ascorbic Acid,A1055,NA
56,Asparaginase,A1056,NA
57,Aspartic Acid; Glutamic Acid,A1057,NA
58,"Aspartic Acid; Glutamic Acid; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose",A1058,NA
59,Aspartic Acid; Glutamic Acid; Dextrose Monohydrate; Sodium Chloride; Sodium Gluconate; Sodium Acetate; Potassium Chloride; Magnesium Chloride,A1059,NA
60,Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Calcium Gluconate Monohydrate; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Glutamic Acid; Proline,A1060,NA
61,"Aspartic Acid; Potassium Chloride; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose",A1061,NA
62,"Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Trisodium Citrate Dihydrate; Anhydrous Dextrose; Citric Acid Monohydrate; Sodium Phosphate, Monobasic, Monohydrate",A1062,NA
63,Atropine,A1063,NA
64,Atropine Sulfate,A1064,NA
65,Avexitide,A1065,NA
66,Azithromycin Anhydrous,A1066,NA
67,Baclofen; Bupivacaine Hydrochloride Related Compound A,A1067,NA
68,Benzocaine,A1068,NA
69,Benzocaine; Lidocaine Hydrochloride; Tetracaine Hydrochloride,A1070,NA
70,Benzocaine; Lidocaine; Tetracaine,A1070,NA
71,Benzocaine; Tetracaine; Lidocaine,A1070,NA
72,Benzoyl Peroxide,A1072,NA
73,Benzoyl Peroxide; Adapalene; Clindamycin Phosphate,A1073,NA
74,Benzoyl Peroxide; Adapalene; Niacinamide,A1074,NA
75,Benzoyl Peroxide; Clindamycin Phosphate; Adapalene,A1075,NA
76,Benzoyl Peroxide; Clindamycin Phosphate; Niacinamide,A1076,NA
77,Benzoyl Peroxide; Clindamycin Phosphate; Niacinamide; Spironolactone,A1077,NA
78,Benzoyl Peroxide; Clindamycin Phosphate; Niacinamide; Tretinoin,A1078,NA
79,Benzoyl Peroxide; Clindamycin Phosphate; Niacinamide; Tretinoin; Spironolactone,A1079,NA
80,Benzoyl Peroxide; Tretinoin; Niacinamide,A1080,NA
81,Benzyl Alcohol,A1081,NA
82,Betamethasone Acetate; Betamethasone Sodium Phosphate,A1082,NA
83,Betamethasone Dipropionate; Minoxidil,A1083,NA
84,Betamethasone Dipropionate; Minoxidil; Niacinamide; Pentoxifylline,A1084,NA
85,Betamethasone Dipropionate; Niacinamide,A1085,NA
86,Betamethasone Sodium Phosphate,A1086,NA
87,Betamethasone Sodium Phosphate; Betamethasone Acetate,A1087,NA
88,Bevacizumab,A1088,NA
89,Bevacizumab-Awwb,A1089,NA
90,Bevacizumab; Dexamethasone,A1090,NA
91,Biotin,A1091,NA
92,Boric Acid,A1092,NA
93,Brilliant Blue G,A1093,NA
94,Brimonidine Tartrate,A1094,NA
95,Brolucizumab,A1095,NA
96,Bromfenac Sodium; Moxifloxacin Hydrochloride,A1096,NA
97,Bromfenac Sodium; Prednisolone Acetate,A1097,NA
98,Bromfenac Sodium; Prednisolone Acetate; Moxifloxacin Hydrochloride,A1098,NA
99,Bromfenac Sodium; Prednisolone Sodium Phosphate,A1099,NA
100,Bromfenac Sodium; Prednisolone Sodium Phosphate; Moxifloxacin Hydrochloride,A1100,NA
101,Brompheniramine Maleate,A1101,NA
102,Bumetanide,A1102,NA
103,Bupivacaine Hydrochloride,A1103,NA
104,Bupivacaine Hydrochloride Anhydrous,A1104,NA
105,Bupivacaine Hydrochloride; Dextrose,A1105,NA
106,Bupivacaine Hydrochloride; Epinephrine,A1106,NA
107,Bupivacaine Hydrochloride; Fentanyl Citrate,A1107,NA
108,Bupivacaine Hydrochloride; Lidocaine Hydrochloride,A1108,NA
109,Buprenorphine,A1109,NA
110,Buprenorphine Hydrochloride,A1110,NA
111,Butalbital,A1111,NA
112,Calcipotriene; Mometasone Furoate; Clobetasol Propionate,A1112,NA
113,Calcipotriene; Niacinamide,A1113,NA
114,Calcium Chloride,A1114,NA
115,Calcium Chloride; Sodium Chloride; Potassium Chloride; Mannitol; Lidocaine Hydrochloride; Sodium Bicarbonate,A1115,NA
116,Calcium Gluconate,A1116,NA
117,Calcium Gluconate Monohydrate; Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine,A1117,NA
118,Calcium Gluconate Monohydrate; Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Heparin Sodium,A1118,NA
119,Calcium Gluconate Monohydrate; Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Leucine; Arginine; Taurine; Dextrose Monohydrate; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine,A1119,NA
120,Calcium Gluconate Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Lysine Acetate; Serine; Glutamic Acid; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Valine; Heparin Sodium,A1120,NA
121,Calcium Gluconate Monohydrate; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Glutamic Acid; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine,A1121,NA
122,Calcium Gluconate; Calcium Saccharate,A1122,NA
123,Calcium Gluconate; Magnesium Chloride,A1123,NA
124,Calcium Gluconate; Magnesium Chloride; Zinc Sulfate,A1124,NA
125,Calcium Gluconate; Propylene Glycol; Methylcellulose (1500 Mpa.s),A1125,NA
126,Calcium Gluconate; Thiamine Hydrochloride; Niacinamide; Dexpanthenol; Cyanocobalamin; Riboflavin; Pyridoxine Hydrochloride; Magnesium Chloride,A1126,NA
127,Calcium Gluconate; Zinc Sulfate Anhydrous; Magnesium Chloride Anhydrous,A1127,NA
128,Cantharidin,A1128,NA
129,Cantharidin; Podophyllum Resin; Salicylic Acid,A1129,NA
130,Carnitine,A1130,NA
131,Carnitine; Thiamine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Niacinamide; Pyridoxine Hydrochloride; Inositol; Choline Chloride; Chromic Chloride; Methionine; Cyanocobalamin,A1131,NA
132,Carnitine; Thiamine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Niacinamide; Pyridoxine Hydrochloride; Inositol; Choline Chloride; Chromic Chloride; Methionine; Hydroxocobalamin Hydrochloride,A1132,NA
133,Cefazolin,A1133,NA
134,Cefazolin Sodium,A1134,NA
135,Ceftazidime,A1135,NA
136,Cefuroxime,A1136,NA
137,Cefuroxime Sodium,A1137,NA
138,Cefuroxime; Carbachol,A1138,NA
139,Cefuroxime; Carbachol; Dexamethasone Sodium Phosphate,A1139,NA
140,Chlorambucil,A1140,NA
141,Chloramphenicol; Amphotericin B,A1141,NA
142,Chloramphenicol; Hydrocortisone; Amphotericin B,A1142,NA
143,Chloramphenicol; Sulfamethoxazole; Amphotericin B,A1143,NA
144,Chloramphenicol; Sulfamethoxazole; Amphotericin B; Boric Acid,A1144,NA
145,Chlorhexidine Gluconate,A1145,NA
146,Cholecalciferol,A1146,NA
147,Cholic Acid,A1147,NA
148,Choline Chloride; Inositol; Methionine,A1148,NA
149,Choline Chloride; Methionine; Inositol; Cyanocobalamin,A1149,NA
150,Chorionic Gonadotropin,A1150,NA
151,Ciclopirox Olamine,A1151,NA
152,Ciclopirox Olamine; Clobetasol Propionate; Salicylic Acid,A1152,NA
153,Ciclopirox Olamine; Itraconazole,A1153,NA
154,Ciclopirox Olamine; Itraconazole; Ibuprofen; Terbinafine Hydrochloride; Urea,A1154,NA
155,Ciclopirox Olamine; Itraconazole; Urea,A1155,NA
156,Ciclopirox Olamine; Terbinafine Hydrochloride; Fluconazole,A1156,NA
157,Cimetidine; Ibuprofen; Salicylic Acid,A1157,NA
158,Cimetidine; Lidocaine; Salicylic Acid,A1158,NA
159,Cisatracurium Besylate,A1159,NA
160,"Citric Acid Monohydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate; Trisodium Citrate Dihydrate",A1160,NA
161,"Citric Acid Monohydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Trisodium Citrate Dihydrate; Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate",A1161,NA
162,"Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate",A1162,NA
163,"Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Dextrose Monohydrate; Potassium Chloride; Aspartic Acid; Tromethamine; Glutamic Acid; Magnesium Sulfate Heptahydrate",A1163,NA
164,"Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Sodium Chloride; Tromethamine; Potassium Chloride",A1164,NA
165,"Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Sodium Chloride; Tromethamine; Potassium Chloride; Dextrose Monohydrate",A1165,NA
166,"Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Magnesium Sulfate Heptahydrate; Tromethamine; Potassium Chloride; Dextrose Monohydrate; Anhydrous Dextrose; Sodium Chloride",A1166,NA
167,Clindamycin Phosphate; Hydrocortisone; Tretinoin,A1167,NA
168,Clindamycin Phosphate; Niacinamide; Tretinoin,A1168,NA
169,Clindamycin Phosphate; Sulfacetamide Sodium; Tretinoin,A1169,NA
170,Clioquinol; Amphotericin B,A1170,NA
171,Clobetasol Propionate; Calcipotriene,A1171,NA
172,Clobetasol Propionate; Ciclopirox,A1172,NA
173,Clobetasol Propionate; Hyaluronic Acid; Niacinamide,A1173,NA
174,Clobetasol Propionate; Niacinamide,A1174,NA
175,Clobetasol Propionate; Salicylic Acid; Urea,A1175,NA
176,Clonidine Hydrochloride; Ropivacaine Hydrochloride; Racepinephrine Hydrochloride; Ketorolac Tromethamine,A1176,NA
177,"Coenzyme Q10, (2z)-",A1177,NA
178,Copper Gluconate,A1178,NA
179,Cyanocobalamin,A1179,NA
180,Cyanocobalamin; Choline Chloride; Inositol,A1180,NA
181,Cyanocobalamin; Choline Chloride; Inositol; Pyridoxine Hydrochloride,A1181,NA
182,Cyclopentolate,A1182,NA
183,Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Ketorolac Tromethamine; Ciprofloxacin Hydrochloride; Tropicamide,A1183,NA
184,Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Tropicamide,A1184,NA
185,Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Tropicamide; Ketorolac Tromethamine,A1185,NA
186,Cyclophosphamide,A1186,NA
187,Cyclosporine,A1187,NA
188,Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Calcium Gluconate Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Lysine Acetate; Serine; Glutamic Acid; Tyrosine; N-Acetyltyrosine; Threonine,A1188,NA
189,Dactinomycin,A1189,NA
190,Danazol,A1190,NA
191,Dapsone; Niacinamide,A1191,NA
192,Dapsone; Spironolactone; Niacinamide,A1192,NA
193,Dapsone; Tretinoin; Niacinamide,A1193,NA
194,Desoximetasone; Niacinamide,A1194,NA
195,Dexamethasone,A1195,NA
196,Dexamethasone Acetate Anhydrous,A1196,NA
197,Dexamethasone Phosphate,A1197,NA
198,Dexamethasone Sodium Phosphate,A1198,NA
199,Dexamethasone Sodium Phosphate; Bupivacaine Hydrochloride,A1199,NA
200,Dexamethasone Sodium Phosphate; Lidocaine Hydrochloride,A1200,NA
201,Dexamethasone Sodium Phosphate; Moxifloxacin Hydrochloride,A1201,NA
202,Dexamethasone Sodium Phosphate; Moxifloxacin Hydrochloride; Ketorolac Tromethamine,A1202,NA
203,Dexamethasone Sodium Phosphate; Sodium Bisulfite,A1203,NA
204,Dexamethasone Sodium Phosphate; Tretinoin; Minoxidil; Finasteride,A1204,NA
205,Dexmedetomidine Hydrochloride,A1205,NA
206,Dexpanthenol,A1206,NA
207,Dexpanthenol; Pyridoxine,A1207,NA
208,Dexpanthenol; Pyridoxine; Thiamine Hydrochloride; Riboflavin; Niacinamide,A1208,NA
209,Dextrose,A1209,NA
210,Dextrose Monohydrate,A1210,NA
211,Dextrose Monohydrate; Leucine; Methionine; Glutamic Acid; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Heparin Sodium; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine,A1211,NA
212,"Dextrose Monohydrate; Potassium Chloride; Aspartic Acid; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Citric Acid Monohydrate; Tromethamine; Glutamic Acid",A1212,NA
213,"Dextrose, Unspecified Form",A1213,NA
214,Diazepam,A1214,NA
215,Diazepam Hydrochloride,A1215,NA
216,Dibasic Potassium Phosphate; Monobasic Potassium Phosphate,A1216,NA
217,Diclofenac Sodium,A1217,NA
218,Diclofenac Sodium; Hyaluronic Acid; Niacinamide,A1218,NA
219,Diclofenac Sodium; Hyaluronic Acid; Niacinamide; Calcipotriene,A1219,NA
220,Diclofenac Sodium; Niacinamide,A1220,NA
221,Diclofenac Sodium; Niacinamide; Calcipotriene,A1221,NA
222,Diltiazem Hydrochloride,A1222,NA
223,Diphenhydramine Hydrochloride,A1223,NA
224,Dipyridamole,A1224,NA
225,Disodium Nicotinamide Adenine Dinucleotide,A1225,NA
226,Doxycycline,A1226,NA
227,Doxycycline Anhydrous,A1227,NA
228,Doxycycline Hyclate,A1228,NA
229,Doxycycline Hydrochloride,A1229,NA
230,Droperidol,A1230,NA
231,Dyclonine Hydrochloride,A1231,NA
232,Econazole Nitrate; Niacinamide,A1232,NA
233,Edetate Calcium Disodium,A1233,NA
234,Edetate Disodium,A1234,NA
235,Enrofloxacin,A1235,NA
236,Ephedrine,A1236,NA
237,Ephedrine Sulfate,A1237,NA
238,Epinephrine,A1238,NA
239,Epinephrine Bitartrate,A1239,NA
240,Epinephrine Hydrochloride,A1240,NA
241,Epinephrine Hydrochloride; Lidocaine Hydrochloride,A1241,NA
242,Epinephrine; Bupivacaine Hydrochloride; Dexamethasone Sodium Phosphate,A1242,NA
243,Epinephrine; Lidocaine Hydrochloride,A1241,NA
244,Epinephrine; Lidocaine Hydrochloride Anhydrous,A1241,NA
245,Epinephrine; Lidocaine Hydrochloride; Tetracaine Hydrochloride,A1245,NA
246,Erythromycin Lactobionate,A1246,NA
247,Esmolol,A1247,NA
248,Esmolol Hydrochloride,A1248,NA
249,Estradiol,A1249,NA
250,Estradiol; Estriol,A1250,NA
251,Estradiol; Estriol; Testosterone,A1251,NA
252,Estradiol; Progesterone,A1252,NA
253,Estradiol; Testosterone; Estriol,A1253,NA
254,Estriol,A1254,NA
255,Estriol; .alpha.-Estradiol 3-Benzoate; Testosterone,A1255,NA
256,Estriol; Estradiol,A1256,NA
257,Estriol; Estradiol Hemihydrate,A1257,NA
258,Estriol; Estradiol Hemihydrate; Progesterone,A1258,NA
259,Estriol; Estradiol; Testosterone,A1259,NA
260,Estriol; Testosterone; Estradiol,A1260,NA
261,Famotidine,A1261,NA
262,Felis Catus Skin; Felis Catus Dander,A1262,NA
263,Fentanyl,A1263,NA
264,Fentanyl Citrate,A1264,NA
265,Fentanyl Citrate; Bupivacaine Hydrochloride,A1265,NA
266,Fentanyl Citrate; Ropivacaine Hydrochloride,A1266,NA
267,Finasteride; Minoxidil,A1267,NA
268,Finasteride; Minoxidil; Tretinoin,A1268,NA
269,Fluconazole,A1269,NA
270,Fluconazole; Ciclopirox Olamine; Terbinafine Hydrochloride,A1270,NA
271,Fluconazole; Ibuprofen; Itraconazole; Terbinafine Hydrochloride,A1271,NA
272,Fluocinolone Acetonide; Ibuprofen; Itraconazole; Terbinafine Hydrochloride,A1272,NA
273,Fluocinolone Acetonide; Iodoquinol,A1273,NA
274,Fluocinolone Acetonide; Lidocaine,A1274,NA
275,Fluocinolone Acetonide; Niacinamide,A1275,NA
276,Fluocinonide; Hydroquinone; Tretinoin,A1276,NA
277,Fluorescein Sodium,A1277,NA
278,Fluoxetine Hydrochloride,A1278,NA
279,Flurbiprofen,A1279,NA
280,Fluticasone Propionate; Niacinamide,A1280,NA
281,Folic Acid,A1281,NA
282,Follicle Stimulating Hormone Beta Polypeptide,A1282,NA
283,Furosemide,A1283,NA
284,Gabapentin,A1284,NA
285,Gemcitabine,A1285,NA
286,Gentamicin,A1286,NA
287,Gentamicin; Sodium Citrate,A1287,NA
288,"Glucose, 6,6-Dideutero",A1288,NA
289,Glutamic Acid; Aspartic Acid,A1289,NA
290,"Glutamic Acid; Dextrose Monohydrate; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose; Aspartic Acid; Potassium Chloride; Tromethamine",A1290,NA
291,Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Aspartic Acid; Leucine; Methionine; Proline; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Calcium Gluconate Monohydrate; Heparin Sodium,A1291,NA
292,Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine,A1292,NA
293,Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Calcium Gluconate Monohydrate,A1293,NA
294,Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Calcium Gluconate Monohydrate; Heparin Sodium,A1294,NA
295,Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Valine; Phenylalanine; Tryptophan,A1295,NA
296,Glutamic Acid; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Calcium Gluconate Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Heparin Sodium; Lysine Acetate; Serine,A1296,NA
297,Glutathione,A1297,NA
298,Glycerin,A1298,NA
299,Glycine,A1299,NA
300,Glycolic Acid,A1300,NA
301,Glycopyrrolate,A1301,NA
302,"Gonadotrophin, Chorionic",A1302,NA
303,"Gonadotrophin, Chorionic; Methylcobalamin",A1303,NA
304,Growth Hormone Releasing Hexapeptide; Sermorelin Acetate; Pralmorelin,A1304,NA
305,Heparin Sodium,A1305,NA
306,Heparin Sodium; Calcium Gluconate Monohydrate; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Glutamic Acid; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine,A1306,NA
307,Heparin Sodium; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Glutamic Acid; Proline; Aspartic Acid; Isoleucine; Alanine; Glycine; Phenylalanine; Tryptophan; Valine,A1307,NA
308,Human Chorionic Gonadotropin,A1308,NA
309,Human Chorionic Gonadotropin; Methylcobalamin,A1309,NA
310,Hyaluronic Acid,A1310,NA
311,Hyaluronic Acid; Hydroquinone,A1311,NA
312,Hyaluronic Acid; Hydroquinone; Tretinoin,A1312,NA
313,Hyaluronic Acid; Mometasone Furoate; Niacinamide,A1313,NA
314,Hyaluronic Acid; Niacinamide; Tretinoin,A1314,NA
315,Hyaluronic Acid; Tacrolimus; Niacinamide,A1315,NA
316,Hyaluronic Acid; Tacrolimus; Urea,A1316,NA
317,Hyaluronic Acid; Tazarotene,A1317,NA
318,Hyaluronidase,A1318,NA
319,Hyaluronidase (human Recombinant),A1319,NA
320,Hyaluronidase-1 Bovine,A1320,NA
321,Hydrochloric Acid,A1321,NA
322,Hydrocodone Bitartrate,A1322,NA
323,Hydrocortisone; Amphotericin B; Chloramphenicol; Sulfamethoxazole; Boric Acid,A1323,NA
324,Hydrocortisone; Chloramphenicol; Amphotericin B,A1324,NA
325,Hydrocortisone; Chloramphenicol; Sulfamethoxazole; Amphotericin B,A1325,NA
326,Hydrocortisone; Ketoconazole,A1326,NA
327,Hydrocortisone; Ketoconazole; Iodoquinol,A1327,NA
328,Hydrocortisone; Levocetirizine Dihydrochloride,A1328,NA
329,Hydrocortisone; Tretinoin; Hydroquinone,A1329,NA
330,Hydrogen Peroxide,A1330,NA
331,Hydromorphone,A1331,NA
332,Hydromorphone Hydrochloride,A1332,NA
333,Hydromorphone Hydrochloride; Bupivacaine Hydrochloride Related Compound A,A1333,NA
334,Hydroquinone,A1334,NA
335,Hydroquinone; Hydrocortisone,A1335,NA
336,Hydroquinone; Hydrocortisone; Tretinoin,A1336,NA
337,Hydroquinone; Tretinoin,A1337,NA
338,Hydroquinone; Tretinoin; Desoximetasone,A1338,NA
339,Hydroquinone; Tretinoin; Fluocinonide,A1339,NA
