"","Active","Facility","Segment","ActiveCount","ProductCount","FacilitySegmentCount","SegmentCount","ProducedByCP","City","State","lon","lat","InitialRegistration","FacilitySqFt","Employees","Services","EstSales","EstFacilitySize"
"31","Cefazolin Sodium","IntegraDose Compounding Services, LLC","Dental",3,28,1,231,NA,"Minneapolis","MN",-93.2650108,44.977753,2018-05-08,"NA",17,"Compounding",9760000,"Medium"
"32","Cefuroxime Sodium","JCB Laboratories LLC","Dental",4,54,8,231,NA,"Wichita","KS",-97.330053,37.6871761,2014-01-21,"50000",20,"Compounding, Speciality formulations",9330000,"Medium"
"33","Moxifloxacin Hydrochloride","JCB Laboratories LLC","Dental",9,54,8,231,NA,"Wichita","KS",-97.330053,37.6871761,2014-01-21,"50000",20,"Compounding, Speciality formulations",9330000,"Medium"
"34","Triamcinolone Acetonide","JCB Laboratories LLC","Dental",7,54,8,231,NA,"Wichita","KS",-97.330053,37.6871761,2014-01-21,"50000",20,"Compounding, Speciality formulations",9330000,"Medium"
"35","Trisodium Citrate Dihydrate; Gentamicin Sulfate","JCB Laboratories LLC","Dental",2,54,8,231,NA,"Wichita","KS",-97.330053,37.6871761,2014-01-21,"50000",20,"Compounding, Speciality formulations",9330000,"Medium"
"36","Moxifloxacin Hydrochloride","KRS GLOBAL BIOTECHNOLOGY, INC.","Dental",9,66,8,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Tetracaine Hydrochloride","KRS GLOBAL BIOTECHNOLOGY, INC.","Dental",7,66,8,231,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Azithromycin Anhydrous","LEESAR INC","Dental",1,33,3,231,NA,"Fort Myers","FL",-81.8723084,26.640628,2014-04-30,"NA",280,"Compounding",259870000,"Large"
"39","Lidocaine Hydrochloride Anhydrous; Lidocaine Hydrochloride","LEESAR INC","Dental",1,33,3,231,NA,"Fort Myers","FL",-81.8723084,26.640628,2014-04-30,"NA",280,"Compounding",259870000,"Large"
"40","Bupivacaine Hydrochloride","Leiter's Compounding","Dental",11,21,4,231,NA,"San Jose","CA",-121.8863286,37.3382082,2014-01-31,"NA",50,"Compounding",8760000,"Large"
"41","Cefuroxime Sodium","Leiter's Compounding","Dental",4,21,4,231,NA,"San Jose","CA",-121.8863286,37.3382082,2014-01-31,"NA",50,"Compounding",8760000,"Large"
"42","Moxifloxacin Hydrochloride","Leiter's Compounding","Dental",9,21,4,231,NA,"San Jose","CA",-121.8863286,37.3382082,2014-01-31,"NA",50,"Compounding",8760000,"Large"
"43","Cefuroxime Sodium","Medi-Fare Drug","Dental",4,58,5,231,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"44","Midazolam","Medi-Fare Drug","Dental",9,58,5,231,NA,"Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"45","Nitroglycerin","Medi-Fare Drug","Dental",3,58,5,231,"Y","Blacksburg","SC",-80.4139393,37.2295733,2013-12-17,"NA",15,"Compounding",3390000,"Small"
"46","Bupivacaine Hydrochloride","Nephron Sterile Compounding Center, LLC","Dental",11,93,5,231,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"47","Bupivacaine Hydrochloride; Dextrose","Nephron Sterile Compounding Center, LLC","Dental",1,93,5,231,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"48","Diazepam","Nephron Sterile Compounding Center, LLC","Dental",4,93,5,231,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"49","Diazepam","Pacifico National, Inc.  dba AmEx Pharmacy","Dental",4,29,4,231,NA,"Melbourne","FL",144.9630576,-37.8136276,2015-09-21,"NA",19,"Compounding",6810000,"Medium"
"50","Triamcinolone Acetonide","Pacifico National, Inc.  dba AmEx Pharmacy","Dental",7,29,4,231,NA,"Melbourne","FL",144.9630576,-37.8136276,2015-09-21,"NA",19,"Compounding",6810000,"Medium"
"51","Bupivacaine Hydrochloride Anhydrous","Pentec Health, Inc","Dental",2,21,2,231,NA,"Boothwyn","PA",-75.4415843,39.8301125,2016-09-21,"NA",114,"Compounding",116940000,"Large"
"52","Bupivacaine Hydrochloride","Pharmedium Services, LLC, Dayton","Dental",11,74,4,231,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"53","Bupivacaine Hydrochloride","PharMEDium Services, LLC SugarLand","Dental",11,58,4,231,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"54","Bupivacaine Hydrochloride","Pharmedium Services, LLC Cleveland","Dental",11,54,3,231,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"55","Cefazolin Sodium","PharMEDium Services, LLC SugarLand","Dental",3,58,4,231,NA,"Sugar Land","TX",-95.6225521,29.5984434,2013-12-11,"NA",12,"Compounding",632447,"Small"
"56","Cefazolin Sodium","Pharmedium Services, LLC, Dayton","Dental",3,74,4,231,NA,"Dayton","NJ",-84.1916069,39.7589478,2015-11-03,"NA",12,"Compounding",632447,"Small"
"57","Midazolam Hydrochloride","Pharmedium Services, LLC Cleveland","Dental",7,54,3,231,NA,"Cleveland","MS",-81.6943605,41.49932,2013-12-11,"NA",12,"Compounding",632447,"Small"
"58","Ceftazidime","Pine Pharmaceuticals LLC","Dental",5,84,11,231,"Y","Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"59","Cefuroxime Sodium","Pine Pharmaceuticals LLC","Dental",4,84,11,231,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"60","Moxifloxacin Hydrochloride","Pine Pharmaceuticals LLC","Dental",9,84,11,231,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"61","Vancomycin Hydrochloride; Gentamicin Sulfate","Pine Pharmaceuticals LLC","Dental",1,84,11,231,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"62","Bupivacaine Hydrochloride","Premier Pharmacy Labs, Inc","Dental",11,88,11,231,NA,"Brookville","FL",-79.0830924,41.1611746,2014-04-16,"NA",8,"Compounding",1500000,"Small"
"63","Ceftazidime","Premier Pharmacy Labs, Inc","Dental",5,88,11,231,"Y","Brookville","FL",-79.0830924,41.1611746,2014-04-16,"NA",8,"Compounding",1500000,"Small"
"64","Doxycycline Hyclate","Premier Pharmacy Labs, Inc","Dental",4,88,11,231,"Y","Brookville","FL",-79.0830924,41.1611746,2014-04-16,"NA",8,"Compounding",1500000,"Small"
"65","Nitroglycerin","Premier Pharmacy Labs, Inc","Dental",3,88,11,231,"Y","Brookville","FL",-79.0830924,41.1611746,2014-04-16,"NA",8,"Compounding",1500000,"Small"
"66","Promethazine Hydrochloride","Premier Pharmacy Labs, Inc","Dental",3,88,11,231,NA,"Brookville","FL",-79.0830924,41.1611746,2014-04-16,"NA",8,"Compounding",1500000,"Small"
"67","Tetracaine Hydrochloride","Premier Pharmacy Labs, Inc","Dental",7,88,11,231,"Y","Brookville","FL",-79.0830924,41.1611746,2014-04-16,"NA",8,"Compounding",1500000,"Small"
"68","Bupivacaine Hydrochloride","QuVa Pharma, Inc.","Dental",11,85,6,231,NA,"Sugar Land","TX",-95.6225521,29.5984434,2015-09-10,"NA",110,"Compounding",3e+06,"Large"
"69","Lidocaine Hydrochloride Anhydrous","QuVa Pharma, Inc.","Dental",5,85,6,231,NA,"Sugar Land","TX",-95.6225521,29.5984434,2015-09-10,"NA",110,"Compounding",3e+06,"Large"
"70","Midazolam Hydrochloride","QuVa Pharma, Inc.","Dental",7,85,6,231,NA,"Sugar Land","TX",-95.6225521,29.5984434,2015-09-10,"NA",110,"Compounding",3e+06,"Large"
"71","Ceftazidime","RAM Pharma, Inc.","Dental",5,64,13,231,"Y","Idaho Falls","ID",-112.0407584,43.4926607,2016-07-21,"NA",5,"Compounding",149000,"Small"
"72","Diphenhydramine Hydrochloride","RAM Pharma, Inc.","Dental",3,64,13,231,"Y","Idaho Falls","ID",-112.0407584,43.4926607,2016-07-21,"NA",5,"Compounding",149000,"Small"
"73","Doxycycline Hyclate","RAM Pharma, Inc.","Dental",4,64,13,231,"Y","Idaho Falls","ID",-112.0407584,43.4926607,2016-07-21,"NA",5,"Compounding",149000,"Small"
"74","Tetracaine Hydrochloride","RAM Pharma, Inc.","Dental",7,64,13,231,"Y","Idaho Falls","ID",-112.0407584,43.4926607,2016-07-21,"NA",5,"Compounding",149000,"Small"
"75","Cefazolin","RC Outsourcing, LLC","Dental",2,30,6,231,NA,"Lowellville","OH",-80.5364593,41.0353371,2015-10-06,"4500",6,"Compounding",280501,"Small"
"76","Ceftazidime","RC Outsourcing, LLC","Dental",5,30,6,231,"Y","Lowellville","OH",-80.5364593,41.0353371,2015-10-06,"4500",6,"Compounding",280501,"Small"
"77","Cefuroxime","RC Outsourcing, LLC","Dental",2,30,6,231,NA,"Lowellville","OH",-80.5364593,41.0353371,2015-10-06,"4500",6,"Compounding",280501,"Small"
"78","Moxifloxacin","RC Outsourcing, LLC","Dental",3,30,6,231,NA,"Lowellville","OH",-80.5364593,41.0353371,2015-10-06,"4500",6,"Compounding",280501,"Small"
"79","Bupivacaine Hydrochloride","RXQ Compounding, LLC","Dental",11,119,11,231,NA,"Athens","OH",23.7275388,37.9838096,2015-01-02,"NA",3,"Compounding",1770000,"Small"
"80","Diphenhydramine Hydrochloride","RXQ Compounding, LLC","Dental",3,119,11,231,"Y","Athens","OH",23.7275388,37.9838096,2015-01-02,"NA",3,"Compounding",1770000,"Small"
"81","Lidocaine Hydrochloride Anhydrous","RXQ Compounding, LLC","Dental",5,119,11,231,NA,"Athens","OH",23.7275388,37.9838096,2015-01-02,"NA",3,"Compounding",1770000,"Small"
"82","Midazolam","RXQ Compounding, LLC","Dental",9,119,11,231,NA,"Athens","OH",23.7275388,37.9838096,2015-01-02,"NA",3,"Compounding",1770000,"Small"
"83","Moxifloxacin Hydrochloride","RXQ Compounding, LLC","Dental",9,119,11,231,NA,"Athens","OH",23.7275388,37.9838096,2015-01-02,"NA",3,"Compounding",1770000,"Small"
"84","Acetaminophen","SCA Pharmaceuticals, LLC","Dental",2,96,6,231,NA,"Little Rock","AR",-92.2895948,34.7464809,2013-12-13,"NA",22,"Compounding",11870000,"Medium"
"85","Lidocaine Hydrochloride Anhydrous","SCA Pharmaceuticals, LLC","Dental",5,96,6,231,NA,"Little Rock","AR",-92.2895948,34.7464809,2013-12-13,"NA",22,"Compounding",11870000,"Medium"
"86","Midazolam Hydrochloride","SCA Pharmaceuticals, LLC","Dental",7,96,6,231,NA,"Little Rock","AR",-92.2895948,34.7464809,2013-12-13,"NA",22,"Compounding",11870000,"Medium"
"87","Lidocaine; Phenylephrine Hydrochloride; Prilocaine","Sincerus Florida, LLC","Dental",1,110,4,231,NA,"Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
"88","Diazepam","Stokes Healthcare","Dental",4,16,1,231,NA,"Mt. Laurel","NJ",-74.8909988,39.934002,2018-01-30,"NA",49,"Compounding",5300000,"Medium"
"89","Acetaminophen","US Compounding, Inc.","Dental",2,87,13,231,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"90","Diazepam","US Compounding, Inc.","Dental",4,87,13,231,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"91","Promethazine Hydrochloride","US Compounding, Inc.","Dental",3,87,13,231,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"92","Tetracaine Hydrochloride","US Compounding, Inc.","Dental",7,87,13,231,"Y","Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"93","Triamcinolone Acetonide","US Compounding, Inc.","Dental",7,87,13,231,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"94","Triamcinolone Diacetate","US Compounding, Inc.","Dental",2,87,13,231,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"95","Tetracaine Hydrochloride","ASP Cares","Dental",7,66,4,231,"Y","San Antonio","TX",-98.4936282,29.4241219,2017-02-14,"3000",10,"Compounding, Clinical Trials, R&D",242068,"Small"
"96","Midazolam Hydrochloride","Exela Pharma Sciences, LLC.","Dental",7,9,1,231,NA,"Lenoir","NC",-97.7558701,30.2469938,2014-06-06,"NA",35,"Compounding",20360000,"Large"
"97","Moxifloxacin Hydrochloride","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dental",9,57,6,231,NA,"Wichita","KS",-97.330053,37.6871761,2015-10-02,"50000",40,"Compounding, Speciality formulations",14410000,"Medium"
"98","Trisodium Citrate Dihydrate; Gentamicin Sulfate","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dental",2,57,6,231,NA,"Wichita","KS",-97.330053,37.6871761,2015-10-02,"50000",40,"Compounding, Speciality formulations",14410000,"Medium"
"99","Moxifloxacin Hydrochloride; Dexamethasone Sodium Phosphate","Imprimis NJOF, LLC","Dental",1,29,5,231,NA,"Ledgewood","NJ",-82.517773,35.570635,2016-11-12,"NA",5,"Compounding",411596,"Small"
"100","Isopropyl Alcohol","Right Value Drug Stores llc dba Carie Boyd's Prescription Shop","Dental",5,31,4,231,NA,"Irving","TX",-96.9488945,32.8140177,2019-07-03,"10000",13,"Compounding",2190000,"Small"
"101","Midazolam","Right Value Drug Stores llc dba Carie Boyd's Prescription Shop","Dental",9,31,4,231,NA,"Irving","TX",-96.9488945,32.8140177,2019-07-03,"10000",13,"Compounding",2190000,"Small"
"102","Naloxone Hydrochloride","ASP Cares","Dental",1,66,4,231,NA,"San Antonio","TX",-98.4936282,29.4241219,2017-02-14,"3000",10,"Compounding, Clinical Trials, R&D",242068,"Small"
"103","Isopropyl Alcohol","Brookfield Medical Surgical Supply","Dental",5,12,2,231,NA,"Brookfield","CT",-88.1064787,43.0605671,2015-01-12,"NA",10,"Compounding",982304,"Small"
"104","Midazolam","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dental",9,57,6,231,NA,"Wichita","KS",-97.330053,37.6871761,2015-10-02,"50000",40,"Compounding, Speciality formulations",14410000,"Medium"
"105","Isopropyl Alcohol","KRS Global Biotechnology, Inc.","Dental",5,87,7,231,NA,"Boca Raton","FL",-80.1289321,26.3683064,2013-12-15,"NA",40,"Compounding",11750000,"Large"
"106","Moxifloxacin","KRS Global Biotechnology, Inc.","Dental",3,87,7,231,NA,"Boca Raton","FL",-80.1289321,26.3683064,2013-12-15,"NA",40,"Compounding",11750000,"Large"
"107","Midazolam","Nephron Sterile Compounding Center, LLC","Dental",9,93,5,231,NA,"West Columbia","SC",-81.0739825,33.9934867,2014-07-15,"NA",5,"Compounding",618285,"Small"
"108","Midazolam Hydrochloride","New England Life Care LLC dba Advanced Compounding Solutions","Dental",7,55,3,231,NA,"Woburn","MA",-71.1522765,42.4792618,2017-03-02,"NA",3,"Compounding",92720000,"Large"
"109","Nitroglycerin","RAM Pharma, Inc.","Dental",3,64,13,231,"Y","Idaho Falls","ID",-112.0407584,43.4926607,2016-07-21,"NA",5,"Compounding",149000,"Small"
"110","Isopropyl Alcohol","US Compounding, Inc.","Dental",5,87,13,231,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"111","Midazolam","US Compounding, Inc.","Dental",9,87,13,231,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"112","Promethazine","US Compounding, Inc.","Dental",1,87,13,231,NA,"Conway","AR",-92.4421011,35.0886963,2013-12-20,"NA",90,"Compounding",6440000,"Medium"
"113","Bupivacaine Hydrochloride","Denver Solutions, LLC dba Leiters Health","Dental",11,65,7,231,NA,"Englewood","CO",-104.9877597,39.6477653,2017-03-24,"60000",8,"Compounding, Repackaging",2470000,"Medium"
"114","Epinephrine; Bupivacaine Hydrochloride; Dexamethasone Sodium Phosphate","Denver Solutions, LLC dba Leiters Health","Dental",1,65,7,231,NA,"Englewood","CO",-104.9877597,39.6477653,2017-03-24,"60000",8,"Compounding, Repackaging",2470000,"Medium"
"115","Bupivacaine Hydrochloride","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dental",11,57,6,231,NA,"Wichita","KS",-97.330053,37.6871761,2015-10-02,"50000",40,"Compounding, Speciality formulations",14410000,"Medium"
"116","Isopropyl Alcohol","Pine Pharmaceuticals LLC","Dental",5,84,11,231,NA,"Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"117","Midazolam","STAQ Pharma Inc","Dental",9,11,1,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Midazolam","SterRx","Dental",9,20,1,231,NA,"Plattsburg","NY",-94.4480059,39.5655549,2015-05-29,"NA",32,"Compounding",11040000,"Medium"
"119","Cefazolin","Wells Pharma of Houston","Dental",2,35,3,231,NA,"Dyersburg","TN",-89.3856281,36.0345159,2016-06-07,"NA",112,"Compounding",1510000,"Medium"
"120","Midazolam","Wells Pharma of Houston","Dental",9,35,3,231,NA,"Dyersburg","TN",-89.3856281,36.0345159,2016-06-07,"NA",112,"Compounding",1510000,"Medium"
"121","Bupivacaine Hydrochloride Anhydrous","Wells Pharmacy, Inc","Dental",2,27,2,231,NA,"Dyersburg","TN",-89.3856281,36.0345159,2016-06-07,"6000",30,"Compounding",4060000,"Medium"
"122","Lidocaine; Benzocaine; Tetracaine","ASP Cares","Dental",16,66,4,231,"Y","San Antonio","TX",-98.4936282,29.4241219,2017-02-14,"3000",10,"Compounding, Clinical Trials, R&D",242068,"Small"
"123","Lidocaine; Benzocaine; Tetracaine","Atlas Pharmaceuticals, LLC","Dental",16,24,3,231,"Y","Phoenix","AZ",-112.0740373,33.4483771,2016-11-08,"3000",5,"Compounding",179398,"Small"
"124","Lidocaine; Benzocaine; Tetracaine","Complete Pharmacy and Medical Solutions","Dental",16,78,4,231,"Y","Miami Lakes","FL",-80.3086619,25.9087056,2014-06-06,"1500",10,"Compounding",1130000,"Small"
"125","Lidocaine; Benzocaine; Tetracaine","Edge Pharmacy Services LLC","Dental",16,106,15,231,"Y","Colchester","VT",0.891874,51.895927,2014-01-21,"5000",22,"Compounding, Hazardous, Clinical Trials, Training",7200000,"Medium"
"126","Lidocaine; Benzocaine; Tetracaine","Empower Pharmacy","Dental",16,67,3,231,"Y","Houston","TX",-95.3698028,29.7604267,2016-07-16,"10000",22,"Compounding",246315,"Small"
"127","Lidocaine; Benzocaine; Tetracaine","KRS Global Biotechnology, Inc.","Dental",16,87,7,231,"Y","Boca Raton","FL",-80.1289321,26.3683064,2013-12-15,"NA",40,"Compounding",11750000,"Large"
"128","Lidocaine; Benzocaine; Tetracaine","Pacifico National, Inc.  dba AmEx Pharmacy","Dental",16,29,4,231,"Y","Melbourne","FL",144.9630576,-37.8136276,2015-09-21,"NA",19,"Compounding",6810000,"Medium"
"129","Lidocaine; Benzocaine; Tetracaine","Pine Pharmaceuticals LLC","Dental",16,84,11,231,"Y","Tonawanda","NY",-78.8723971,42.9886849,2018-03-09,"15000",34,"Compounding",1280000,"Small"
"130","Lidocaine; Benzocaine; Tetracaine","Premier Pharmacy Labs, Inc","Dental",16,88,11,231,"Y","Brookville","FL",-79.0830924,41.1611746,2014-04-16,"NA",8,"Compounding",1500000,"Small"
"131","Lidocaine; Benzocaine; Tetracaine","RAM Pharma, Inc.","Dental",16,64,13,231,"Y","Idaho Falls","ID",-112.0407584,43.4926607,2016-07-21,"NA",5,"Compounding",149000,"Small"
"132","Lidocaine; Benzocaine; Tetracaine","RXQ Compounding, LLC","Dental",16,119,11,231,"Y","Athens","OH",23.7275388,37.9838096,2015-01-02,"NA",3,"Compounding",1770000,"Small"
"133","Lidocaine; Benzocaine; Tetracaine","Sincerus Florida, LLC","Dental",16,110,4,231,"Y","Pompano Beach","FL",-80.1247667,26.2378597,2016-03-10,"20000",30,"Compounding, Speciality formulations",3200000,"Medium"
