"","Active Ingredients","Active Ingredients Info","Dosage","Facility","Facility UID","Package Description","NDC Package Code","Report Year"
"20","Neostigmine Methylsulfate","5 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"21","Neostigmine Methylsulfate","3 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","3 Ml in 1 Syringe, Plastic",NA,"2019-1"
"22","Phenylephrine","500 ug/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"23","Phenylephrine","1000 ug/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"24","Phenylephrine Hydrochloride","800 ug/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"25","Phenylephrine Hydrochloride","200 ug/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"26","Phenylephrine Hydrochloride","400 ug/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"27","Phenylephrine Hydrochloride","90 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2019-1"
"28","Phenylephrine Hydrochloride","400 ug/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"29","Phenylephrine Hydrochloride","100 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2019-1"
"30","Phenylephrine Hydrochloride","10 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2019-1"
"31","Rocuronium Bromide","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"32","Rocuronium Bromide","100 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"33","Succinylcholine Chloride","200 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"34","Succinylcholine Chloride","100 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"35","Vancomycin Hydrochloride","1.25 g/262.5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","262.5 Ml in 1 Bag",NA,"2019-1"
"36","Vancomycin Hydrochloride","2 g/520 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","520 Ml in 1 Bag",NA,"2019-1"
"37","Vancomycin Hydrochloride","1.5 g/515 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","515 Ml in 1 Bag",NA,"2019-1"
"38","Vancomycin Hydrochloride","500 mg/255 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","255 Ml in 1 Bag",NA,"2019-1"
"39","Atropine Sulfate","2 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"40","Atropine Sulfate",".8 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","2 Ml in 1 Syringe, Plastic",NA,"2019-2"
"41","Diltiazem Hydrochloride","125 mg/125 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","125 Ml in 1 Bag",NA,"2019-2"
"42","Ephedrine Sulfate","25 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"43","Ephedrine Sulfate","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"44","Ephedrine Sulfate","50 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"45","Epinephrine","8 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2019-2"
"46","Glycopyrrolate",".4 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","2 Ml in 1 Syringe, Plastic",NA,"2019-2"
"47","Glycopyrrolate",".6 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"48","Glycopyrrolate",".6 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","3 Ml in 1 Syringe, Plastic",NA,"2019-2"
"49","Ketamine","20 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","2 Ml in 1 Syringe, Plastic",NA,"2019-2"
"50","Ketamine Hydrochloride","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"51","Ketamine Hydrochloride","50 mg/1 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","1 Ml in 1 Syringe, Plastic",NA,"2019-2"
"52","Ketamine Hydrochloride","100 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"53","Lidocaine Hydrochloride","10 mg/1 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","1 Ml in 1 Syringe, Plastic",NA,"2019-2"
"54","Lidocaine Hydrochloride","30 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","3 Ml in 1 Syringe, Plastic",NA,"2019-2"
"55","Lidocaine Hydrochloride","30 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"56","Lidocaine Hydrochloride","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"57","Lidocaine Hydrochloride","100 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"58","Lidocaine Hydrochloride","100 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"59","Neostigmine Methylsulfate","5 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"60","Neostigmine Methylsulfate","3 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","3 Ml in 1 Syringe, Plastic",NA,"2019-2"
"61","Oxytocin","20 [iU]/1010 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","1010 Ml in 1 Bag",NA,"2019-2"
"62","Oxytocin","30 [iU]/510 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","510 Ml in 1 Bag",NA,"2019-2"
"63","Phenylephrine","1000 ug/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"64","Phenylephrine","500 ug/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"65","Phenylephrine Hydrochloride","400 ug/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"66","Phenylephrine Hydrochloride","90 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2019-2"
"67","Phenylephrine Hydrochloride","10 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2019-2"
"68","Phenylephrine Hydrochloride","200 ug/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"69","Phenylephrine Hydrochloride","20 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2019-2"
"70","Phenylephrine Hydrochloride","40 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2019-2"
"71","Phenylephrine Hydrochloride","400 ug/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"72","Phenylephrine Hydrochloride","100 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2019-2"
"73","Phenylephrine Hydrochloride","800 ug/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"74","Phenylephrine Hydrochloride","80 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2019-2"
"75","Rocuronium Bromide","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"76","Rocuronium Bromide","100 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"77","Succinylcholine Chloride","200 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"78","Succinylcholine Chloride","100 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"79","Vancomycin Hydrochloride","500 mg/255 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","255 Ml in 1 Bag",NA,"2019-2"
"80","Vancomycin Hydrochloride","2 g/520 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","520 Ml in 1 Bag",NA,"2019-2"
"81","Vancomycin Hydrochloride","1.75 g/517.5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","517.5 Ml in 1 Bag",NA,"2019-2"
"82","Vancomycin Hydrochloride","750 mg/257.5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","257.5 Ml in 1 Bag",NA,"2019-2"
"83","Vancomycin Hydrochloride","1 g/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2019-2"
"84","Vancomycin Hydrochloride","1.25 g/262.5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","262.5 Ml in 1 Bag",NA,"2019-2"
"85","Vancomycin Hydrochloride","1.5 g/515 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","515 Ml in 1 Bag",NA,"2019-2"
"86","Vancomycin Hydrochloride","1.5 g/265 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","265 Ml in 1 Bag",NA,"2019-2"
"87","Atropine Sulfate",".8 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","2 Ml in 1 Syringe, Plastic",NA,"2020-1"
"88","Atropine Sulfate","2 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"89","Diltiazem Hydrochloride","125 mg/125 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","125 Ml in 1 Bag",NA,"2020-1"
"90","Ephedrine Sulfate","25 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"91","Ephedrine Sulfate","50 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2020-1"
"92","Ephedrine Sulfate","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"93","Epinephrine","2 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2020-1"
"94","Epinephrine","8 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2020-1"
"95","Glycopyrrolate",".4 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","2 Ml in 1 Syringe, Plastic",NA,"2020-1"
"96","Glycopyrrolate",".6 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"97","Glycopyrrolate",".6 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","3 Ml in 1 Syringe, Plastic",NA,"2020-1"
"98","Heparin Sodium","2000 [iU]/510 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","510 Ml in 1 Bag",NA,"2020-1"
"99","Heparin Sodium","500 [iU]/510 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","510 Ml in 1 Bag",NA,"2020-1"
"100","Heparin Sodium","4000 [iU]/510 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","1010 Ml in 1 Bag",NA,"2020-1"
"101","Ketamine","20 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","2 Ml in 1 Syringe, Plastic",NA,"2020-1"
"102","Ketamine Hydrochloride","100 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2020-1"
"103","Ketamine Hydrochloride","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"104","Ketamine Hydrochloride","50 mg/1 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","1 Ml in 1 Syringe, Plastic",NA,"2020-1"
"105","Labetalol Hydrochloride","5 mg/1 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"106","Lidocaine Hydrochloride","10 mg/1 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","1 Ml in 1 Syringe, Plastic",NA,"2020-1"
"107","Lidocaine Hydrochloride","30 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","3 Ml in 1 Syringe, Plastic",NA,"2020-1"
"108","Lidocaine Hydrochloride","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"109","Lidocaine Hydrochloride","100 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"110","Lidocaine Hydrochloride","100 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2020-1"
"111","Lidocaine Hydrochloride","30 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"112","Midazolam Hydrochloride","100 mg/100 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","100 Ml in 1 Bag",NA,"2020-1"
"113","Neostigmine Methylsulfate","5 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"114","Neostigmine Methylsulfate","3 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","3 Ml in 1 Syringe, Plastic",NA,"2020-1"
"115","Norepinephrine Bitartrate","4 mg/254 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","254 Ml in 1 Bag",NA,"2020-1"
"116","Norepinephrine Bitartrate","8 mg/258 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","258 Ml in 1 Bag",NA,"2020-1"
"117","Oxytocin","20 [iU]/1010 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","1010 Ml in 1 Bag",NA,"2020-1"
"118","Oxytocin","30 [iU]/510 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","510 Ml in 1 Bag",NA,"2020-1"
"119","Phenylephrine","500 ug/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"120","Phenylephrine","1000 ug/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2020-1"
"121","Phenylephrine Hydrochloride","200 ug/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"122","Phenylephrine Hydrochloride","100 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2020-1"
"123","Phenylephrine Hydrochloride","800 ug/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2020-1"
"124","Phenylephrine Hydrochloride","20 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2020-1"
"125","Phenylephrine Hydrochloride","400 ug/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2020-1"
"126","Phenylephrine Hydrochloride","80 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2020-1"
"127","Phenylephrine Hydrochloride","90 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2020-1"
"128","Phenylephrine Hydrochloride","10 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2020-1"
"129","Phenylephrine Hydrochloride","400 ug/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"130","Phenylephrine Hydrochloride","40 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2020-1"
"131","Potassium Phosphate, Unspecified Form","5 mmol/255 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","255 Ml in 1 Bag",NA,"2020-1"
"132","Rocuronium Bromide","100 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2020-1"
"133","Rocuronium Bromide","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"134","Succinylcholine Chloride","200 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2020-1"
"135","Succinylcholine Chloride","100 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-1"
"136","Vancomycin Hydrochloride","1 g/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2020-1"
"137","Vancomycin Hydrochloride","1.75 g/517.5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","517.5 Ml in 1 Bag",NA,"2020-1"
"138","Vancomycin Hydrochloride","1.25 g/262.5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","262.5 Ml in 1 Bag",NA,"2020-1"
"139","Vancomycin Hydrochloride","750 mg/257.5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","257.5 Ml in 1 Bag",NA,"2020-1"
"140","Vancomycin Hydrochloride","2 g/520 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","520 Ml in 1 Bag",NA,"2020-1"
"141","Vancomycin Hydrochloride","1.5 g/515 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","515 Ml in 1 Bag",NA,"2020-1"
"142","Vancomycin Hydrochloride","1.5 g/265 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","265 Ml in 1 Bag",NA,"2020-1"
"143","Vancomycin Hydrochloride","500 mg/255 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","255 Ml in 1 Bag",NA,"2020-1"
"144","Atropine Sulfate","2 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-2"
"145","Atropine Sulfate",".8 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","2 Ml in 1 Syringe, Plastic",NA,"2020-2"
"146","Diltiazem Hydrochloride","125 mg/125 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","125 Ml in 1 Bag",NA,"2020-2"
"147","Ephedrine Sulfate","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-2"
"148","Ephedrine Sulfate","50 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2020-2"
"149","Ephedrine Sulfate","25 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-2"
"150","Epinephrine","2 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2020-2"
"151","Epinephrine","8 mg/260 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","260 Ml in 1 Bag",NA,"2020-2"
"152","Glycopyrrolate",".4 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","2 Ml in 1 Syringe, Plastic",NA,"2020-2"
"153","Glycopyrrolate",".6 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-2"
"154","Glycopyrrolate",".6 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","3 Ml in 1 Syringe, Plastic",NA,"2020-2"
"155","Heparin Sodium","2000 [iU]/510 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","510 Ml in 1 Bag",NA,"2020-2"
"156","Heparin Sodium","4000 [iU]/510 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","1010 Ml in 1 Bag",NA,"2020-2"
"157","Heparin Sodium","500 [iU]/510 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","510 Ml in 1 Bag",NA,"2020-2"
"158","Ketamine","20 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","2 Ml in 1 Syringe, Plastic",NA,"2020-2"
"159","Ketamine Hydrochloride","50 mg/1 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","1 Ml in 1 Syringe, Plastic",NA,"2020-2"
"160","Ketamine Hydrochloride","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2020-2"
