"","Facility Name","Initial Date of Registration as an Outsourcing Facility","Date of Most Recent Registration as an Outsourcing Facility","End Date of Last FDA Inspection Releated to Compounding","Was a Form FDA-483 issued?","Other Action, if Any, Based on Last Inspection","Intends to Compounds Sterile Drugs From Bulk Drug Substances","Contact Name","Phone Number"
"13","Central Admixture Pharmacy Services, Inc., Allentown, PA",2014-02-28,2021-10-22,2018-08-22,"Yes","FMD-145 Issued 6/17/2020","Yes","Thomas Kelsey","216-233-0766"
"14","Central Admixture Pharmacy Services, Phoenix, AZ",2018-03-29,2021-10-22,2019-04-26,"No","FMD-145 Issued 6/3/2020","Yes","Thomas Kelsey","216-233-0766"
"15","
			Central Admixture Pharmacy Services, Inc., San Diego, CA
",2014-06-04,2021-10-22,2018-09-11,"Yes","FMD-145 Issued 5/27/2020","No","Thomas Kelsey","216-233-0766"
"16","Complete Pharmacy and Medical Solutions, LLC, Miami Lakes, FL",2014-06-06,2021-02-01,2019-01-23,"Yes","Regulatory Meeting Held 11/3/2020","Yes","Charles Richardson
			","305-397-2035"
"17","Compound Preferred, LLC, formerly registered as RAM Pharma, Inc., Ammon, ID",2016-07-21,2021-01-05,2019-08-01,"Yes","Open7","Yes","Casey Hunter","208-419-0613
			Ext=203"
"18","Denver Solutions, LLC dba Leiters Health, Englewood, CO",2017-03-24,2021-11-03,2021-10-07,"Yes","Open7","Yes","Ron Stephens","408-292-6772"
"19","Eagle Pharmacy, Inc., Hoover, AL",2015-06-16,2021-10-21,2021-08-12,"Yes","Open7","Yes","Haleigh Cawood","205-682-7999 "
"20","Edge Pharma, Winooski, VT",2014-01-21,2021-11-03,2020-03-30,"Yes","Open7","Yes","Tyler Wingood","802-992-1178"
"21","Empower Pharmacy, Houston, TX",2016-07-16,2021-10-19,2020-03-06,"Yes","Warning Letter Issued 10/15/2021","Yes","Shaun Noorian","877-562-8577 "
"22","Exela Pharma Sciences, LLC., Lenoir, NC",2014-06-06,2020-11-16,2019-07-18,"Yes","WLCO and FMD-145 Issued 4/30/2021","Yes","Arun Koganti","828-758-5474
			Ext=181"
"23","Excite Pharma Services, LLC, Tonganoxie, KS",2021-06-01,2021-06-01,NA,"N/A","N/A","Yes","Robert Pendland
			","816-389-8402"
"24","F.H. Investments, Inc., dba Asteria Health, Birmingham, AL",2017-05-18,2020-12-02,2018-07-10,"Yes","Open","Yes","William Fixler","855-771-0505 "
"25","Fagron Compounding Services d/b/a Fagron Sterile Services, Wichita, KS",2015-10-02,2021-10-21,2019-06-21,"Yes","Regulatory Meeting Held 1/21/2021","Yes","David Lawn","316-773-0405"
"26","Farmakeio Outsourcing LLC, Southlake, TX",2018-12-12,2020-12-23,2019-10-30,"Yes","Warning Letter Issued 7/29/2021","Yes","Cody Boatman","817-203-8216"
"27","Firefly Rx LLC, Folcroft, PA",2021-11-03,2021-11-03,NA,"N/A","N/A","Yes","Amany Mansour-Awad
			","855-790-0100"
"28","Fresenius Kabi Compounding, LLC, Canton, MA",2017-04-21,2021-11-10,2018-12-04,"Yes","FMD-145 Issued 4/22/2020","No","Deborah McHugh","781-298-7577 "
"29","Hikma Injectables USA Inc., Dayton, NJ",2021-08-06,2021-08-06,NA,"N/A","N/A","No","J. Barton Kalis
			","856-489-2247"
"30","Hikma Injectables USA Inc., Cherry Hill, NJ",2021-08-06,2021-08-06,NA,"N/A","N/A","Yes","J. Barton Kalis
			","856-489-2247"
"31","Hybrid Pharma, LLC, Deerfield Beach, FL",2015-01-14,2021-01-11,2021-09-03,"Yes","Open7","Yes","Ponswamy Rajalingam
			","954-708-2771"
"32","Imprimis NJOF, LLC, Ledgewood, NJ",2016-11-12,2020-11-19,2021-01-29,"Yes","Open7","Yes","Pramod Sharma","973-804-1623"
"33","INTACT PHARMACEUTICALS LLC, New Milford, CT",2018-01-12,2021-01-05,2018-10-12,"Yes","Open","Yes","Debashis Sahoo","860-350-1900"
"34","IntegraDose Compounding Services, LLC, Minneapolis, MN",2018-05-08,2021-10-09,2021-08-02,"Yes","Recall Initiated 9/2021","No","Craig Else","612-672-5216"
"35","
			JCB Laboratories, North Wichita, KS
",2014-01-21,2021-10-22,2018-09-14,"Yes","FMD-145 Issued 9/22/2021","Yes","Tanis Flinkman","316-773-0405"
"36","Kashiv BioSciences, LLC, Chicago, IL",2021-05-27,2021-05-27,NA,"N/A","N/A","No","Chandramauli Rawal
			","312-620-1500
			ext=103"
"37","KRS Global Biotechnology, Inc., Boca Raton, FL",2013-12-15,2021-01-06,2019-08-14,"Yes","Regulatory Meeting Held 7/30/2021","Yes","Charles Richardson","888-502-2050"
"38","Leesar Inc., Fort Myers, FL",2014-04-30,2020-12-22,2021-10-29,"Yes","Open7","No","Maria Gautier","239-939-8925 "
"39","Medi-Fare Drug, Blacksburg, SC",2013-12-17,2020-12-31,2017-04-05,"No","Untitled Letter Issued 3/18/2019","Yes","Anne-Marie Davis","864-839-6500 "
"40","MedisourceRx, Los Alamitos, CA",2017-02-14,2021-11-02,2020-10-22,"Yes","FMD-145 Issued 6/28/2021","Yes","Amy Summers
			","714-455-1300"
"41","Nephron Sterile Compounding Center, LLC (NSCC), West Columbia, SC",2014-07-15,2020-10-22,2019-11-15,"Yes","Regulatory Meeting Held 11/20/2020","Yes","Lou Kennedy","803-569-3110"
"42","New England Life Care, Inc. dba Advanced Compounding Solutions, Woburn, MA",2017-03-02,2021-01-05,2017-08-22,"Yes","Untitled Letter Issued 8/21/2019","No","Marco Romano","781-832-5776"
"43","Nubratori, Inc., Torrance, CA",2017-02-24,2021-10-20,2019-09-26,"Yes","FMD-145 Issued 9/21/2021","Yes","Gulshakar Khwaja","310-218-4153 "
"44","Olympia Compounding Pharmacy, Orlando, FL",2014-03-10,2020-12-31,2018-04-13,"Yes","Regulatory Meeting Held 9/12/2019","Yes","Confidence Ekeanyanwu","407-673-2222"
"45","OurPharma LLC, Fayetteville, AR",2019-03-15,2021-10-13,NA,"N/A","N/A","Yes","Morgan Strickland","479-313-8200"
"46","Pharmaceutics International, Inc., Cockeysville, MD",2020-04-28,2020-11-18,NA,"N/A","N/A","Yes","Veeranna Lolla","410-584-0001
			ext=1423"
"47","Pharmaceutic Labs, LLC, Albany, NY",2014-03-10,2020-12-23,2015-09-23,"Yes","Warning Letter Issued  5/3/2017","Yes","Ernesto Samuel","518-210-7164 "
"48","Pine Pharmaceuticals, LLC, 355 Riverwalk Pkwy, Tonawanda, NY",2018-03-09,2021-10-21,2021-05-14,"Yes","Open7","Yes","Alfonse Muto","716-248-1025"
"49","PQ Pharmacy LLC, Brooksville, FL",2020-10-29,2021-11-18,NA,"N/A","N/A","Yes","Angela Kassay","352-477-8977"
"50","Primera Compounding, LLC, Rosenberg, TX",2021-05-24,2021-10-29,NA,"N/A","N/A","Yes","Basil Raad
			","281-202-6136"
"51","Prisma Health Outsourcing Facility, Simpsonville, SC",2019-12-09,2021-10-23,NA,"N/A","N/A","No","Gary Jones
			","864-522-3800"
"52","Providence Health & Services-Washington, Tukwila, WA",2020-03-02,2020-12-14,2020-10-05,"Yes","FMD-145 Issued 9/10/2021","No","Jacqueline A. Biery","425-687-4460"
"53","QuVa Pharma, Inc., Bloomsbury, NJ",2017-09-15,2020-11-24,2019-05-31,"Yes","Regulatory Meeting Held 11/20/2020","Yes","Robert Brown","908-388-1719"
"54","Quva Pharma, Inc., Sugar Land, TX",2015-09-10,2020-11-24,2019-04-23,"Yes","Regulatory Meeting Held 11/20/2020","No","Travis McGrady","832-500-7113"
"55","QuVa Pharma, Inc., Temple, TX",2015-12-15,2020-11-24,2019-03-14,"Yes","Regulatory Meeting Held 11/20/2020","Yes","Travis Leeah","254-933-4429 "
"56","RC Outsourcing, LLC, Lowellville, OH",2015-10-06,2020-12-02,2019-02-08,"Yes","FMD-145 Issued 5/22/2020","Yes","Raymond R. Carlson","330-536-8500 "
"57","Right Value Drug Stores, LLC, dba Carie Boyd's Prescription Shop, Irving, TX",2019-07-03,2021-11-11,2019-11-12,"Yes","Warning Letter Issued 9/20/2021","Yes","Sara Lange","817-282-9376"
"58","RXQ Compounding LLC, Albany, OH",2019-12-11,2021-01-15,NA,"N/A","N/A","Yes","Tracy Clark","866-280-0031 Ext=8 "
"59","
			SCA Pharmaceuticals, Little Rock, AR
",2013-12-13,2020-11-27,2019-11-07,"Yes","WLCO and FMD-145 Issued 8/19/2021","Yes","Lessley Denton","877-550-5059 "
"60","SCA Pharmaceuticals, Windsor, CT",2017-08-03,2020-11-27,2019-11-19,"Yes","FMD-145 Issued 10/22/2021","Yes","Lessley Denton","877-550-5059 "
"61","Sincerus Florida, LLC, Pompano Beach, FL",2016-03-10,2021-11-01,2018-09-17,"Yes","FMD-145 Issued 11/16/2020","Yes","Michael Morelli","800-604-5032
			Ext=313 "
"62","SSM Health Care Corporation, Fenton, MO",2014-02-18,2020-11-27,2021-09-28,"Yes","Open7","No","Jill Stimac","636-496-2685 "
"63","STAQ Pharma, Inc., Denver, CO",2019-02-05,2020-12-24,2020-09-03,"Yes","Open","Yes","Joe Bagan","303-810-6777"
"64","STASKA PHARMACEUTICALS, Bennet, NE",2020-12-03,2020-12-03,NA,"N/A","N/A","Yes","Lyndon Leitner","402-560-4688"
"65","STERRX, LLC, Plattsburgh, NY  ",NA,2020-11-18,2021-11-04,"No","Open7","Yes ","Sue Martin","518-324-7879 "
"66","Stokes Healthcare Inc., dba Epicur Pharma, Mt. Laurel, NJ",2018-01-30,2020-11-24,2020-10-09,"Yes","Open7","Yes","Michael Tursi","888-508-5032"
"67","Strukmyer Medical, Mesquite, TX",2019-02-08,2021-10-07,NA,"N/A","N/A","Yes","Sudheer Kancherla
			","972-284-1614"
"68","Tailstorm Health Inc., Chandler AZ",2019-10-23,2020-12-31,2021-07-21,"Yes","Open","Yes","Andrew Stasiak","520-465-8496"
"69","The Ritedose Corporation, Columbia, SC",2019-12-20,2021-11-08,NA,"N/A","N/A","Yes","Jody Chastain","803-935-4060"
"70","University of Tennessee, Memphis, TN",2019-06-26,2020-12-08,NA,"N/A","N/A","Yes","Harry Kochat","901-448-1440"
"71","
			US Specialty Formulations LLC, Bethlehem, PA
",2014-01-31,2020-12-02,2019-07-23,"Yes","Regulatory Meeting Held 6/7/2021","Yes","Kyle Flanigan","610-849-5023 "
"72","Wedgewood Connect, LLC, formerly registered as Leiter's Compounding, San Jose, CA",2014-01-31,2021-01-14,2018-12-19,"Yes","FMD-145 Issued 8/3/2021","Yes","Paul Yamamoto
			","408-687-0943"
"73","Wells Pharma of Houston, LLC, Houston, TX",2020-03-09,2021-01-15,2021-06-17,"Yes","Open","Yes","Theaquiata A. Mitchell
			","346-888-1010
			Ext=4811"
"74","Wells Pharmacy, Inc., Dyersburg, TN",2016-06-07,2021-11-10,2021-01-28,"Yes","Open7","Yes","Melissa Stefko","800-622-4510"
