"","Active","Dosage","Facility","Segment","ActiveCount","ProductCount","FacilitySegmentCount","SegmentCount","ProducedByCP"
"48","Midazolam","injection, solution","Medi-Fare Drug","Dental",9,62,5,231,NA
"49","Nitroglycerin","injection, solution","Medi-Fare Drug","Dental",3,62,5,231,"Y"
"50","Bupivacaine Hydrochloride","injection, solution","Nephron Sterile Compounding Center, LLC","Dental",11,97,5,231,NA
"51","Bupivacaine Hydrochloride; Dextrose","injection, solution","Nephron Sterile Compounding Center, LLC","Dental",1,97,5,231,NA
"52","Diazepam","injection, solution","Nephron Sterile Compounding Center, LLC","Dental",4,97,5,231,NA
"53","Diazepam","suppository","Pacifico National, Inc.  dba AmEx Pharmacy","Dental",4,175,4,231,NA
"54","Triamcinolone Acetonide","cream","Pacifico National, Inc.  dba AmEx Pharmacy","Dental",7,175,4,231,NA
"55","Triamcinolone Acetonide","ointment","Pacifico National, Inc.  dba AmEx Pharmacy","Dental",7,175,4,231,NA
"56","Bupivacaine Hydrochloride Anhydrous","injection, solution","Pentec Health, Inc","Dental",2,22,2,231,NA
"57","Bupivacaine Hydrochloride","injection","Pharmedium Services, LLC, Dayton","Dental",11,81,4,231,NA
"58","Bupivacaine Hydrochloride","injection","PharMEDium Services, LLC SugarLand","Dental",11,64,4,231,NA
"59","Bupivacaine Hydrochloride","injection","Pharmedium Services, LLC Cleveland","Dental",11,63,3,231,NA
"60","Cefazolin Sodium","injection","PharMEDium Services, LLC SugarLand","Dental",3,64,4,231,NA
"61","Cefazolin Sodium","injection","Pharmedium Services, LLC, Dayton","Dental",3,81,4,231,NA
"62","Midazolam Hydrochloride","injection","Pharmedium Services, LLC Cleveland","Dental",7,63,3,231,NA
"63","Ceftazidime","injection","Pine Pharmaceuticals LLC","Dental",5,86,11,231,"Y"
"64","Cefuroxime Sodium","injection","Pine Pharmaceuticals LLC","Dental",4,86,11,231,NA
"65","Moxifloxacin Hydrochloride","injection","Pine Pharmaceuticals LLC","Dental",9,86,11,231,NA
"66","Vancomycin Hydrochloride; Gentamicin Sulfate","solution","Pine Pharmaceuticals LLC","Dental",1,86,11,231,NA
"67","Bupivacaine Hydrochloride","injection, solution","Premier Pharmacy Labs, Inc","Dental",11,146,11,231,NA
"68","Ceftazidime","injection, solution","Premier Pharmacy Labs, Inc","Dental",5,146,11,231,"Y"
"69","Doxycycline Hyclate","suspension","Premier Pharmacy Labs, Inc","Dental",4,146,11,231,"Y"
"70","Nitroglycerin","ointment","Premier Pharmacy Labs, Inc","Dental",3,146,11,231,"Y"
"71","Promethazine Hydrochloride","gel","Premier Pharmacy Labs, Inc","Dental",3,146,11,231,NA
"72","Tetracaine Hydrochloride","gel","Premier Pharmacy Labs, Inc","Dental",7,146,11,231,"Y"
"73","Tetracaine Hydrochloride","solution","Premier Pharmacy Labs, Inc","Dental",7,146,11,231,"Y"
"74","Bupivacaine Hydrochloride","injection","QuVa Pharma, Inc.","Dental",11,93,6,231,NA
"75","Lidocaine Hydrochloride Anhydrous","suspension","QuVa Pharma, Inc.","Dental",5,93,6,231,NA
"76","Lidocaine Hydrochloride Anhydrous","injection","QuVa Pharma, Inc.","Dental",5,93,6,231,NA
"77","Midazolam Hydrochloride","injection","QuVa Pharma, Inc.","Dental",7,93,6,231,NA
"78","Ceftazidime","injection, solution","RAM Pharma, Inc.","Dental",5,72,13,231,"Y"
"79","Diphenhydramine Hydrochloride","injection, solution","RAM Pharma, Inc.","Dental",3,72,13,231,"Y"
"80","Doxycycline Hyclate","injection, solution","RAM Pharma, Inc.","Dental",4,72,13,231,"Y"
"81","Tetracaine Hydrochloride","solution","RAM Pharma, Inc.","Dental",7,72,13,231,"Y"
"82","Cefazolin","solution","RC Outsourcing, LLC","Dental",2,32,6,231,NA
"83","Ceftazidime","solution","RC Outsourcing, LLC","Dental",5,32,6,231,"Y"
"84","Cefuroxime","solution","RC Outsourcing, LLC","Dental",2,32,6,231,NA
"85","Moxifloxacin","solution","RC Outsourcing, LLC","Dental",3,32,6,231,NA
"86","Bupivacaine Hydrochloride","injection, solution","RXQ Compounding, LLC","Dental",11,171,11,231,NA
"87","Diphenhydramine Hydrochloride","injection, solution","RXQ Compounding, LLC","Dental",3,171,11,231,"Y"
"88","Lidocaine Hydrochloride Anhydrous","injection, solution","RXQ Compounding, LLC","Dental",5,171,11,231,NA
"89","Midazolam","injection, solution","RXQ Compounding, LLC","Dental",9,171,11,231,NA
"90","Moxifloxacin Hydrochloride","injection, solution","RXQ Compounding, LLC","Dental",9,171,11,231,NA
"91","Acetaminophen","injection, solution","SCA Pharmaceuticals, LLC","Dental",2,103,6,231,NA
"92","Lidocaine Hydrochloride Anhydrous","injection, solution","SCA Pharmaceuticals, LLC","Dental",5,103,6,231,NA
"93","Midazolam Hydrochloride","injection, solution","SCA Pharmaceuticals, LLC","Dental",7,103,6,231,NA
"94","Lidocaine; Phenylephrine Hydrochloride; Prilocaine","ointment","Sincerus Florida, LLC","Dental",1,149,4,231,NA
"95","Diazepam","injection, solution","Stokes Healthcare","Dental",4,18,1,231,NA
"96","Acetaminophen","solution","US Compounding, Inc.","Dental",2,147,13,231,NA
"97","Diazepam","suppository","US Compounding, Inc.","Dental",4,147,13,231,NA
"98","Promethazine Hydrochloride","gel","US Compounding, Inc.","Dental",3,147,13,231,NA
"99","Tetracaine Hydrochloride","gel","US Compounding, Inc.","Dental",7,147,13,231,"Y"
"100","Triamcinolone Acetonide","suspension","US Compounding, Inc.","Dental",7,147,13,231,NA
"101","Triamcinolone Diacetate","injection, suspension","US Compounding, Inc.","Dental",2,147,13,231,NA
"102","Tetracaine Hydrochloride","gel","ASP Cares","Dental",7,72,4,231,"Y"
"103","Moxifloxacin Hydrochloride","injection, solution","Avella of Deer Valley, Inc. #38","Dental",9,38,2,231,NA
"104","Midazolam Hydrochloride","injection","Exela Pharma Sciences, LLC.","Dental",7,10,1,231,NA
"105","Moxifloxacin Hydrochloride","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dental",9,57,6,231,NA
"106","Trisodium Citrate Dihydrate; Gentamicin Sulfate","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dental",2,57,6,231,NA
"107","Moxifloxacin Hydrochloride","injection, solution","Imprimis NJOF, LLC","Dental",9,49,5,231,NA
"108","Moxifloxacin Hydrochloride; Dexamethasone Sodium Phosphate","injection, solution","Imprimis NJOF, LLC","Dental",1,49,5,231,NA
"109","Tetracaine Hydrochloride","gel","KRS GLOBAL BIOTECHNOLOGY, INC.","Dental",7,101,8,231,"Y"
"110","Bupivacaine Hydrochloride","solution","QuVa Pharma, Inc.","Dental",11,93,6,231,NA
"111","Isopropyl Alcohol","solution","Right Value Drug Stores llc dba Carie Boyd's Prescription Shop","Dental",5,38,4,231,NA
"112","Midazolam","injection, solution","Right Value Drug Stores llc dba Carie Boyd's Prescription Shop","Dental",9,38,4,231,NA
"113","Naloxone Hydrochloride","solution","ASP Cares","Dental",1,72,4,231,NA
"114","Isopropyl Alcohol","liquid","Brookfield Medical Surgical Supply","Dental",5,12,2,231,NA
"115","Midazolam","solution","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dental",9,57,6,231,NA
"116","Isopropyl Alcohol","solution","KRS Global Biotechnology, Inc.","Dental",5,107,7,231,NA
"117","Moxifloxacin","solution","KRS Global Biotechnology, Inc.","Dental",3,107,7,231,NA
"118","Midazolam","injection, solution","Nephron Sterile Compounding Center, LLC","Dental",9,97,5,231,NA
"119","Midazolam Hydrochloride","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","Dental",7,55,3,231,NA
"120","Nitroglycerin","ointment","RAM Pharma, Inc.","Dental",3,72,13,231,"Y"
"121","Isopropyl Alcohol","solution","US Compounding, Inc.","Dental",5,147,13,231,NA
"122","Midazolam","injection, solution","US Compounding, Inc.","Dental",9,147,13,231,NA
"123","Promethazine","cream","US Compounding, Inc.","Dental",1,147,13,231,NA
"124","Bupivacaine Hydrochloride","injection, solution","Denver Solutions, LLC dba Leiters Health","Dental",11,66,7,231,NA
"125","Epinephrine; Bupivacaine Hydrochloride; Dexamethasone Sodium Phosphate","injection, solution","Denver Solutions, LLC dba Leiters Health","Dental",1,66,7,231,NA
"126","Bupivacaine Hydrochloride","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dental",11,57,6,231,NA
"127","Isopropyl Alcohol","solution","Pine Pharmaceuticals LLC","Dental",5,86,11,231,NA
"128","Midazolam","injection","STAQ Pharma Inc","Dental",9,11,1,231,NA
"129","Midazolam","injection, solution","SterRx","Dental",9,20,1,231,NA
"130","Cefazolin","injection, solution","Wells Pharma of Houston","Dental",2,36,3,231,NA
"131","Midazolam","injection, solution","Wells Pharma of Houston","Dental",9,36,3,231,NA
"132","Bupivacaine Hydrochloride Anhydrous","injection, solution","Wells Pharmacy, Inc","Dental",2,32,2,231,NA
"133","Lidocaine; Benzocaine; Tetracaine","cream","ASP Cares","Dental",16,72,4,231,"Y"
"134","Lidocaine; Benzocaine; Tetracaine","cream","Atlas Pharmaceuticals, LLC","Dental",16,43,3,231,"Y"
"135","Lidocaine; Benzocaine; Tetracaine","ointment","Complete Pharmacy and Medical Solutions","Dental",16,149,4,231,"Y"
"136","Lidocaine; Benzocaine; Tetracaine","cream","Complete Pharmacy and Medical Solutions","Dental",16,149,4,231,"Y"
"137","Lidocaine; Benzocaine; Tetracaine","ointment","Edge Pharmacy Services LLC","Dental",16,142,15,231,"Y"
"138","Lidocaine; Benzocaine; Tetracaine","cream","Empower Pharmacy","Dental",16,87,3,231,"Y"
"139","Lidocaine; Benzocaine; Tetracaine","cream","KRS Global Biotechnology, Inc.","Dental",16,107,7,231,"Y"
"140","Lidocaine; Benzocaine; Tetracaine","cream","Pacifico National, Inc.  dba AmEx Pharmacy","Dental",16,175,4,231,"Y"
"141","Lidocaine; Benzocaine; Tetracaine","ointment","Pine Pharmaceuticals LLC","Dental",16,86,11,231,"Y"
"142","Lidocaine; Benzocaine; Tetracaine","gel","Premier Pharmacy Labs, Inc","Dental",16,146,11,231,"Y"
"143","Lidocaine; Benzocaine; Tetracaine","cream","RAM Pharma, Inc.","Dental",16,72,13,231,"Y"
"144","Lidocaine; Benzocaine; Tetracaine","gel","RAM Pharma, Inc.","Dental",16,72,13,231,"Y"
"145","Lidocaine; Benzocaine; Tetracaine","cream","RXQ Compounding, LLC","Dental",16,171,11,231,"Y"
"146","Lidocaine; Benzocaine; Tetracaine","ointment","Sincerus Florida, LLC","Dental",16,149,4,231,"Y"
"147","Lidocaine; Benzocaine; Tetracaine","emulsion","Sincerus Florida, LLC","Dental",16,149,4,231,"Y"
"148","Lidocaine; Benzocaine; Tetracaine","cream","Sincerus Florida, LLC","Dental",16,149,4,231,"Y"
"149","Lidocaine; Benzocaine; Tetracaine","cream","US Compounding, Inc.","Dental",16,147,13,231,"Y"
"150","Lidocaine; Benzocaine; Tetracaine","cream","Wells Pharmacy, Inc","Dental",16,32,2,231,"Y"
"151","Lidocaine; Benzocaine; Tetracaine","cream","Right Value Drug Stores llc dba Carie Boyd's Prescription Shop","Dental",16,38,4,231,"Y"
"152","Lidocaine; Benzocaine; Tetracaine","cream","AnazaoHealth Corporation","Dental",16,45,1,231,"Y"
"153","Lidocaine; Epinephrine","solution","Imprimis NJOF, LLC","Dental",6,49,5,231,NA
"154","Lidocaine; Epinephrine","injection, solution","OLYMPIA PHARMACY","Dental",6,71,2,231,NA
"155","Lidocaine; Epinephrine","injection","Pine Pharmaceuticals LLC","Dental",6,86,11,231,NA
"156","Lidocaine; Epinephrine","injection, solution","RAM Pharma, Inc.","Dental",6,72,13,231,NA
"157","Lidocaine; Epinephrine","injection, solution","RXQ Compounding, LLC","Dental",6,171,11,231,NA
"158","Lidocaine; Epinephrine","injection, solution","Imprimis NJOF, LLC","Dental",6,49,5,231,NA
"159","Lidocaine; Epinephrine","solution","KRS Global Biotechnology, Inc.","Dental",6,107,7,231,NA
"160","Lidocaine; Epinephrine; Tetracaine","solution","JCB Laboratories LLC","Dental",5,54,8,231,NA
"161","Lidocaine; Epinephrine; Tetracaine","gel","Premier Pharmacy Labs, Inc","Dental",5,146,11,231,NA
"162","Lidocaine; Epinephrine; Tetracaine","gel","RAM Pharma, Inc.","Dental",5,72,13,231,NA
"163","Lidocaine; Epinephrine; Tetracaine","gel","RXQ Compounding, LLC","Dental",5,171,11,231,NA
"164","Lidocaine; Epinephrine; Tetracaine","gel","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dental",5,57,6,231,NA
"165","Tetracaine Hydrochloride; Racepinephrine Hydrochloride; Lidocaine Hydrochloride","gel","Edge Pharmacy Services LLC","Dental",5,142,15,231,NA
"166","Tetracaine Hydrochloride; Racepinephrine Hydrochloride; Lidocaine Hydrochloride","gel","KRS GLOBAL BIOTECHNOLOGY, INC.","Dental",5,101,8,231,NA
"167","Tetracaine Hydrochloride; Racepinephrine Hydrochloride; Lidocaine Hydrochloride","gel","QuVa Pharma, Inc.","Dental",5,93,6,231,NA
"168","Tetracaine Hydrochloride; Racepinephrine Hydrochloride; Lidocaine Hydrochloride","solution","QuVa Pharma, Inc.","Dental",5,93,6,231,NA
"169","Tetracaine Hydrochloride; Racepinephrine Hydrochloride; Lidocaine Hydrochloride","gel","SCA Pharmaceuticals, LLC","Dental",5,103,6,231,NA
"170","Tetracaine Hydrochloride; Racepinephrine Hydrochloride; Lidocaine Hydrochloride","gel","US Compounding, Inc.","Dental",5,147,13,231,NA
"171","Lidocaine; Prilocaine; Tetracaine","gel","Edge Pharmacy Services LLC","Dental",5,142,15,231,"Y"
"172","Lidocaine; Prilocaine; Tetracaine","gel","KRS GLOBAL BIOTECHNOLOGY, INC.","Dental",5,101,8,231,"Y"
"173","Lidocaine; Prilocaine; Tetracaine","gel","RAM Pharma, Inc.","Dental",5,72,13,231,"Y"
"174","Lidocaine; Prilocaine; Tetracaine","gel","RXQ Compounding, LLC","Dental",5,171,11,231,"Y"
"175","Lidocaine; Prilocaine; Tetracaine","gel","Right Value Drug Stores llc dba Carie Boyd's Prescription Shop","Dental",5,38,4,231,"Y"
"176","Lidocaine; Bupivacaine","injection, solution","Edge Pharmacy Services LLC","Dental",5,142,15,231,NA
"177","Lidocaine; Bupivacaine","injection","JCB Laboratories LLC","Dental",5,54,8,231,NA
"178","Lidocaine; Bupivacaine","injection, solution","KRS GLOBAL BIOTECHNOLOGY, INC.","Dental",5,101,8,231,NA
"179","Lidocaine; Bupivacaine","injection","Pine Pharmaceuticals LLC","Dental",5,86,11,231,NA
"180","Lidocaine; Bupivacaine","solution","KRS Global Biotechnology, Inc.","Dental",5,107,7,231,NA
"181","Aspartic Acid; Glutamic Acid","solution","Central Admixture Pharmacy Services, Inc.","Dental",1,257,11,231,NA
"182","Tetracaine; Lidocaine","ointment","ASP Cares","Dental",8,72,4,231,"Y"
"183","Tetracaine; Lidocaine","ointment","Complete Pharmacy and Medical Solutions","Dental",8,149,4,231,"Y"
"184","Tetracaine; Lidocaine","cream","Empower Pharmacy","Dental",8,87,3,231,"Y"
"185","Tetracaine; Lidocaine","ointment","KRS GLOBAL BIOTECHNOLOGY, INC.","Dental",8,101,8,231,"Y"
"186","Tetracaine; Lidocaine","gel","KRS GLOBAL BIOTECHNOLOGY, INC.","Dental",8,101,8,231,"Y"
"187","Tetracaine; Lidocaine","cream","Pacifico National, Inc.  dba AmEx Pharmacy","Dental",8,175,4,231,"Y"
"188","Tetracaine; Lidocaine","ointment","Pacifico National, Inc.  dba AmEx Pharmacy","Dental",8,175,4,231,"Y"
"189","Tetracaine; Lidocaine","cream","RAM Pharma, Inc.","Dental",8,72,13,231,"Y"
"190","Tetracaine; Lidocaine","gel","RAM Pharma, Inc.","Dental",8,72,13,231,"Y"
"191","Tetracaine; Lidocaine","ointment","RAM Pharma, Inc.","Dental",8,72,13,231,"Y"
"192","Tetracaine; Lidocaine","cream","RXQ Compounding, LLC","Dental",8,171,11,231,"Y"
"193","Tetracaine; Lidocaine","gel","RXQ Compounding, LLC","Dental",8,171,11,231,"Y"
"194","Tetracaine; Lidocaine","cream","Sincerus Florida, LLC","Dental",8,149,4,231,"Y"
"195","Tetracaine; Lidocaine","ointment","Sincerus Florida, LLC","Dental",8,149,4,231,"Y"
"196","Lidocaine Hydrochloride; Phenylephrine Hydrochloride","injection, solution","Imprimis NJOF, LLC","Dental",10,49,5,231,"Y"
"197","Lidocaine Hydrochloride; Phenylephrine Hydrochloride","injection","JCB Laboratories LLC","Dental",10,54,8,231,"Y"
"198","Lidocaine Hydrochloride; Phenylephrine Hydrochloride","injection, solution","KRS GLOBAL BIOTECHNOLOGY, INC.","Dental",10,101,8,231,"Y"
"199","Lidocaine Hydrochloride; Phenylephrine Hydrochloride","solution","KRS GLOBAL BIOTECHNOLOGY, INC.","Dental",10,101,8,231,"Y"
"200","Lidocaine Hydrochloride; Phenylephrine Hydrochloride","injection, solution","Leiter's Compounding","Dental",10,22,4,231,"Y"
"201","Lidocaine Hydrochloride; Phenylephrine Hydrochloride","injection","Pine Pharmaceuticals LLC","Dental",10,86,11,231,"Y"
"202","Lidocaine Hydrochloride; Phenylephrine Hydrochloride","injection, solution","Premier Pharmacy Labs, Inc","Dental",10,146,11,231,"Y"
"203","Lidocaine Hydrochloride; Phenylephrine Hydrochloride","injection, solution","RAM Pharma, Inc.","Dental",10,72,13,231,"Y"
"204","Lidocaine Hydrochloride; Phenylephrine Hydrochloride","solution","RAM Pharma, Inc.","Dental",10,72,13,231,"Y"
"205","Lidocaine Hydrochloride; Phenylephrine Hydrochloride","injection, solution","US Compounding, Inc.","Dental",10,147,13,231,"Y"
"206","Lidocaine Hydrochloride; Phenylephrine Hydrochloride","injection, solution","Denver Solutions, LLC dba Leiters Health","Dental",10,66,7,231,"Y"
"207","Lidocaine Hydrochloride; Phenylephrine Hydrochloride","solution","KRS Global Biotechnology, Inc.","Dental",10,107,7,231,"Y"
"208","Lidocaine","injection","Atlas Pharmaceuticals, LLC","Dental",26,43,3,231,NA
"209","Lidocaine","solution","Central Admixture Pharmacy Services, Inc.","Dental",26,257,11,231,NA
"210","Lidocaine","injection, powder, for solution","Complete Pharmacy and Medical Solutions","Dental",26,149,4,231,NA
"211","Lidocaine","ointment","Complete Pharmacy and Medical Solutions","Dental",26,149,4,231,NA
"212","Lidocaine","injection, solution","Denver Solutions, LLC dba Leiters Health","Dental",26,66,7,231,NA
"213","Lidocaine","solution","Edge Pharmacy Services LLC","Dental",26,142,15,231,NA
"214","Lidocaine","injection, solution","Edge Pharmacy Services LLC","Dental",26,142,15,231,NA
"215","Lidocaine","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC","Dental",26,57,6,231,NA
"216","Lidocaine","injection, solution","Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals","Dental",26,61,3,231,NA
"217","Lidocaine","injection, solution","KRS GLOBAL BIOTECHNOLOGY, INC.","Dental",26,101,8,231,NA
"218","Lidocaine","injection","Medi-Fare Drug","Dental",26,62,5,231,NA
"219","Lidocaine","injection, solution","Nephron Sterile Compounding Center, LLC","Dental",26,97,5,231,NA
"220","Lidocaine","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","Dental",26,55,3,231,NA
"221","Lidocaine","injection, solution","OLYMPIA PHARMACY","Dental",26,71,2,231,NA
"222","Lidocaine","injection","Pharmedium Services, LLC, Dayton","Dental",26,81,4,231,NA
"223","Lidocaine","injection","Pharmedium Services, LLC Cleveland","Dental",26,63,3,231,NA
"224","Lidocaine","injection","PharMEDium Services, LLC SugarLand","Dental",26,64,4,231,NA
"225","Lidocaine","ointment","Pine Pharmaceuticals LLC","Dental",26,86,11,231,NA
"226","Lidocaine","solution","Pine Pharmaceuticals LLC","Dental",26,86,11,231,NA
"227","Lidocaine","solution","Premier Pharmacy Labs, Inc","Dental",26,146,11,231,NA
"228","Lidocaine","solution","QuVa Pharma, Inc.","Dental",26,93,6,231,NA
"229","Lidocaine","injection","QuVa Pharma, Inc.","Dental",26,93,6,231,NA
"230","Lidocaine","injection, solution","RAM Pharma, Inc.","Dental",26,72,13,231,NA
"231","Lidocaine","solution","RC Outsourcing, LLC","Dental",26,32,6,231,NA
"232","Lidocaine","solution/ drops","RXQ Compounding, LLC","Dental",26,171,11,231,NA
"233","Lidocaine","injection, solution","RXQ Compounding, LLC","Dental",26,171,11,231,NA
"234","Lidocaine","injection, solution","SCA Pharmaceuticals, LLC","Dental",26,103,6,231,NA
"235","Lidocaine","ointment","Sincerus Florida, LLC","Dental",26,149,4,231,NA
"236","Lidocaine","injection, solution","Imprimis NJOF, LLC","Dental",26,49,5,231,NA
"237","Lidocaine","solution","KRS Global Biotechnology, Inc.","Dental",26,107,7,231,NA
"238","Lidocaine","injection","Wells Pharma of Houston","Dental",26,36,3,231,NA
"239","Vancomycin","injection, solution","Apollo Care, LLC","Dental",23,14,1,231,NA
"240","Vancomycin","injection, solution","Avella of Deer Valley, Inc. #38","Dental",23,38,2,231,NA
"241","Vancomycin","solution","Avella of Deer Valley, Inc. #38","Dental",23,38,2,231,NA
"242","Vancomycin","solution","Central Admixture Pharmacy Services, Inc.","Dental",23,257,11,231,NA
"243","Vancomycin","injection, solution","Denver Solutions, LLC dba Leiters Health","Dental",23,66,7,231,NA
"244","Vancomycin","solution","Edge Pharmacy Services LLC","Dental",23,142,15,231,NA
"245","Vancomycin","injection","Fresenius Kabi Compounding, LLC","Dental",23,14,1,231,NA
"246","Vancomycin","injection","JCB Laboratories LLC","Dental",23,54,8,231,NA
"247","Vancomycin","solution","LEESAR INC","Dental",23,35,3,231,NA
"248","Vancomycin","injection","Medi-Fare Drug","Dental",23,62,5,231,NA
"249","Vancomycin","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","Dental",23,55,3,231,NA
"250","Vancomycin","injection","Pentec Health, Inc","Dental",23,22,2,231,NA
"251","Vancomycin","injection, solution","Pentec Health, Inc","Dental",23,22,2,231,NA
