Active,Dosage,Facility,UID,Year,Period,Segmentation,BrandName,City,State,lon,lat,InitialRegistration,FacilitySqFt,Employees,Services,EstSales,EstFacilitySize,503A,ProductCount,Competing
Sodium Bicarbonate,"injection, solution","Apollo Care, LLC",080452681,2019,1,"Surgical, Nutraceuticals, InfusionTherapy",NA,Columbia,MO,38.9322571333382,-92.334280722077,2017-09-14T00:00:00Z,1500,5,Compounding,660577,Small,"NA",14,NA
Vancomycin Hydrochloride,"injection, solution","Apollo Care, LLC",080452681,2019,1,"Dental, Optical, Surgical, PlasticSurgery",NA,Columbia,MO,38.9322571333382,-92.334280722077,2017-09-14T00:00:00Z,1500,5,Compounding,660577,Small,"NA",14,NA
Vancomycin Hydrochloride,"injection, solution","Apollo Care, LLC",080452681,2019,1,"Dental, Optical, Surgical, PlasticSurgery",NA,Columbia,MO,38.9322571333382,-92.334280722077,2017-09-14T00:00:00Z,1500,5,Compounding,660577,Small,"NA",14,NA
Vancomycin Hydrochloride,"injection, solution","Apollo Care, LLC",080452681,2019,1,"Dental, Optical, Surgical, PlasticSurgery",NA,Columbia,MO,38.9322571333382,-92.334280722077,2017-09-14T00:00:00Z,1500,5,Compounding,660577,Small,"NA",14,NA
Vancomycin Hydrochloride,"injection, solution","Apollo Care, LLC",080452681,2019,1,"Dental, Optical, Surgical, PlasticSurgery",NA,Columbia,MO,38.9322571333382,-92.334280722077,2017-09-14T00:00:00Z,1500,5,Compounding,660577,Small,"NA",14,NA
Vancomycin Hydrochloride,"injection, solution","Apollo Care, LLC",080452681,2019,1,"Dental, Optical, Surgical, PlasticSurgery",NA,Columbia,MO,38.9322571333382,-92.334280722077,2017-09-14T00:00:00Z,1500,5,Compounding,660577,Small,"NA",14,NA
Vancomycin Hydrochloride,"injection, solution","Apollo Care, LLC",080452681,2019,1,"Dental, Optical, Surgical, PlasticSurgery",NA,Columbia,MO,38.9322571333382,-92.334280722077,2017-09-14T00:00:00Z,1500,5,Compounding,660577,Small,"NA",14,NA
Vancomycin Hydrochloride,"injection, solution","Apollo Care, LLC",080452681,2019,1,"Dental, Optical, Surgical, PlasticSurgery",NA,Columbia,MO,38.9322571333382,-92.334280722077,2017-09-14T00:00:00Z,1500,5,Compounding,660577,Small,"NA",14,NA
Vancomycin Hydrochloride,"injection, solution","Apollo Care, LLC",080452681,2019,1,"Dental, Optical, Surgical, PlasticSurgery",NA,Columbia,MO,38.9322571333382,-92.334280722077,2017-09-14T00:00:00Z,1500,5,Compounding,660577,Small,"NA",14,NA
Vancomycin Hydrochloride,"injection, solution","Apollo Care, LLC",080452681,2019,1,"Dental, Optical, Surgical, PlasticSurgery",NA,Columbia,MO,38.9322571333382,-92.334280722077,2017-09-14T00:00:00Z,1500,5,Compounding,660577,Small,"NA",14,NA
.alpha.-Ketoglutaric Acid,solution,ASP Cares,080070525,2019,1,"Nutraceuticals, InfusionTherapy",NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Acetylcysteine,solution,ASP Cares,080070525,2019,1,"Surgical, PlasticSurgery, Other",NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Arginine,solution,ASP Cares,080070525,2019,1,Nutraceuticals,NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Arginine Hydrochloride; Propylparaben; Methylparaben,"injection, solution",ASP Cares,080070525,2019,1,"Nutraceuticals, InfusionTherapy",NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Ascorbic Acid,"injection, solution",ASP Cares,080070525,2019,1,"Dermatology, Nutraceuticals, InfusionTherapy",NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Avexitide,"injection, solution",ASP Cares,080070525,2019,1,"Surgical, Other",NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Calcium Gluconate,solution,ASP Cares,080070525,2019,1,NA,NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Calcium Gluconate,solution,ASP Cares,080070525,2019,1,NA,NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Calcium Gluconate,solution,ASP Cares,080070525,2019,1,NA,NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Dexpanthenol,"injection, solution",ASP Cares,080070525,2019,1,Nutraceuticals,Dexpanthenol,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Glutathione,"injection, solution",ASP Cares,080070525,2019,1,"Dermatology, Nutraceuticals, InfusionTherapy",NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Methionine; Choline Chloride; Inositol; Benzyl Alcohol,"injection, solution",ASP Cares,080070525,2019,1,"Nutraceuticals, Other",NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Methionine; Choline Chloride; Inositol; Cyanocobalamin; Benzyl Alcohol,"injection, solution",ASP Cares,080070525,2019,1,"Nutraceuticals, Other",NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Methylcobalamin,"injection, solution",ASP Cares,080070525,2019,1,Nutraceuticals,Methylcobalamin,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Pyridoxine Hydrochloride,"injection, solution",ASP Cares,080070525,2019,1,"Nutraceuticals, InfusionTherapy",NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Sildenafil,troche,ASP Cares,080070525,2019,1,Other,NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Sodium 3-Hydroxybutyrate,injection,ASP Cares,080070525,2019,1,"Surgical, Nutraceuticals, Other",NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Tadalafil,troche,ASP Cares,080070525,2019,1,Other,NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Taurine,"injection, solution",ASP Cares,080070525,2019,1,"Nutraceuticals, InfusionTherapy",NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Testosterone Cypionate,injection,ASP Cares,080070525,2019,1,Other,NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Testosterone Cypionate,injection,ASP Cares,080070525,2019,1,Other,NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Testosterone Cypionate,injection,ASP Cares,080070525,2019,1,Other,NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Tetracaine; Benzocaine; Lidocaine,cream,ASP Cares,080070525,2019,1,"Dental, PlasticSurgery",BLT Cream,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Tetracaine; Benzocaine; Lidocaine,cream,ASP Cares,080070525,2019,1,"Dental, PlasticSurgery",BLT Cream,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Tetracaine; Lidocaine,ointment,ASP Cares,080070525,2019,1,"Dental, PlasticSurgery",LT Oint,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Thiamine Hydrochloride; Benzyl Alcohol; Riboflavin 5'-Phosphate Sodium; Niacinamide; Dexpanthenol; Pyridoxine Hydrochloride,"injection, solution",ASP Cares,080070525,2019,1,"Nutraceuticals, InfusionTherapy",NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Tretinoin; Butylated Hydroxytoluene; Alcohol; Polyethylene Glycol 300,solution,ASP Cares,080070525,2019,1,Dermatology,NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Zinc Sulfate Monohydrate,"injection, solution",ASP Cares,080070525,2019,1,Nutraceuticals,NA,San Antonio,TX,-98.4936282,29.4241219,2017-02-14T00:00:00Z,3000,10,"Compounding, Clinical Trials, R&D",242068,Small,Y,72,6
Epinephrine,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, PlasticSurgery",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Epinephrine,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, PlasticSurgery",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Glycopyrrolate,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, PlasticSurgery",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Glycopyrrolate,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, PlasticSurgery",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Neostigmine Methylsulfate,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, InfusionTherapy, Other",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Neostigmine Methylsulfate,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, InfusionTherapy, Other",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Neostigmine Methylsulfate,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, InfusionTherapy, Other",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Neostigmine Methylsulfate,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, InfusionTherapy, Other",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Neostigmine Methylsulfate,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, InfusionTherapy, Other",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Norepinephrine Bitartrate,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Optical, Surgical, PlasticSurgery",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Norepinephrine Bitartrate,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Optical, Surgical, PlasticSurgery",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Norepinephrine Bitartrate,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Optical, Surgical, PlasticSurgery",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Phenylephrine Hydrochloride,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Optical, Surgical",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Phenylephrine Hydrochloride,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Optical, Surgical",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Phenylephrine Hydrochloride,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Optical, Surgical",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Phenylephrine Hydrochloride,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Optical, Surgical",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Phenylephrine Hydrochloride,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Optical, Surgical",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Vasopressin,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, InfusionTherapy, Other",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Vasopressin,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, InfusionTherapy, Other",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Vasopressin,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, InfusionTherapy, Other",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Vasopressin,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, InfusionTherapy, Other",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Vasopressin,"injection, solution","Athenex Pharma Solutions, LLC",078591072,2019,1,"Surgical, InfusionTherapy, Other",NA,Clarence,NY,-78.5770812,42.982216,2017-04-10T00:00:00Z,"NA",8,Compounding,8510000,Medium,"NA",15,1
Ascorbic Acid,injection,"Atlas Pharmaceuticals, LLC",057234359,2019,1,"Dermatology, Nutraceuticals, InfusionTherapy",NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Buprenorphine Hydrochloride,solution,"Atlas Pharmaceuticals, LLC",057234359,2019,1,Other,NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Buprenorphine Hydrochloride,injection,"Atlas Pharmaceuticals, LLC",057234359,2019,1,Other,NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Buprenorphine Hydrochloride,injection,"Atlas Pharmaceuticals, LLC",057234359,2019,1,Other,NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Buprenorphine Hydrochloride,solution,"Atlas Pharmaceuticals, LLC",057234359,2019,1,Other,NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Buprenorphine Hydrochloride,solution,"Atlas Pharmaceuticals, LLC",057234359,2019,1,Other,NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Buprenorphine Hydrochloride,solution,"Atlas Pharmaceuticals, LLC",057234359,2019,1,Other,NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Dexmedetomidine Hydrochloride,injection,"Atlas Pharmaceuticals, LLC",057234359,2019,1,"Surgical, PlasticSurgery",NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Dexpanthenol,injection,"Atlas Pharmaceuticals, LLC",057234359,2019,1,Nutraceuticals,Dexpanthenol,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Doxycycline,suspension,"Atlas Pharmaceuticals, LLC",057234359,2019,1,NA,NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Doxycycline Anhydrous,suspension,"Atlas Pharmaceuticals, LLC",057234359,2019,1,NA,NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Doxycycline Hyclate,tablet,"Atlas Pharmaceuticals, LLC",057234359,2019,1,"Dental, Optical, Dermatology",NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Doxycycline Hyclate,tablet,"Atlas Pharmaceuticals, LLC",057234359,2019,1,"Dental, Optical, Dermatology",NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Doxycycline Hyclate,tablet,"Atlas Pharmaceuticals, LLC",057234359,2019,1,"Dental, Optical, Dermatology",NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Doxycycline Hyclate,tablet,"Atlas Pharmaceuticals, LLC",057234359,2019,1,"Dental, Optical, Dermatology",NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Enrofloxacin,tablet,"Atlas Pharmaceuticals, LLC",057234359,2019,1,NA,NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
Fluconazole,suspension,"Atlas Pharmaceuticals, LLC",057234359,2019,1,NA,NA,Phoenix,AZ,-112.0740373,33.4483771,2016-11-08T00:00:00Z,3000,5,Compounding,179398,Small,Y,43,3
